Topics,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC,AccuracyStd,BalancedAccuracyStd,PrecisionStd,RecallStd,F1Std,MCCStd
2,0.22333333333333333,0.22333333333333333,0.26384920634920633,0.22333333333333333,0.22072090327972677,0.1391796574225757,0.08866290718846924,0.08866290718846924,0.11069675860657259,0.08866290718846924,0.0856643445043239,0.10008013692508691
3,0.32999999999999996,0.32999999999999996,0.3683037518037518,0.32999999999999996,0.31907115760056937,0.2587084072497637,0.09383792173506164,0.09383792173506163,0.10084614171313863,0.09383792173506163,0.09641535755191051,0.1046267851636119
4,0.4833333333333333,0.4833333333333333,0.533994227994228,0.4833333333333333,0.47144583847525023,0.4321945407256155,0.06561673228343175,0.06561673228343178,0.08460924145082124,0.06561673228343178,0.07138921057030875,0.0734767272761377
5,0.5266666666666666,0.5266666666666666,0.5734050949050948,0.5266666666666666,0.5083667407583816,0.4819339117510668,0.038369548110737825,0.03836954811073785,0.05393488504442373,0.03836954811073785,0.046868775244386096,0.041802403479733276
6,0.5933333333333334,0.5933333333333334,0.5997481962481962,0.5933333333333334,0.5837324832030715,0.5515644635561181,0.05082650227325633,0.050826502273256295,0.046514273160586886,0.050826502273256295,0.050129617669275296,0.05594817025173583
7,0.6533333333333333,0.6533333333333333,0.6847085137085137,0.6533333333333333,0.6501698791404673,0.6186851516587835,0.09675283515799996,0.09675283515799996,0.09335143164790102,0.09675283515799996,0.09661619521499178,0.1075877935404793
8,0.6633333333333333,0.6633333333333333,0.6635396825396824,0.6633333333333333,0.6492467532467533,0.6304265905752631,0.12213380640374175,0.12213380640374179,0.1506558878854316,0.12213380640374179,0.13568649329653987,0.13543336220488936
9,0.71,0.7100000000000001,0.7293448773448773,0.7100000000000001,0.7024043995220466,0.6816409235287317,0.04801620096962644,0.048016200969626416,0.0658889741602611,0.048016200969626416,0.0548390412214297,0.054009799993855474
10,0.7433333333333334,0.7433333333333334,0.7654731934731934,0.7433333333333334,0.7310740678310337,0.7206620218574182,0.0961769203083567,0.09617692030835663,0.09502185034877503,0.09617692030835663,0.10228319621164059,0.10512552847039303
11,0.75,0.75,0.7864155844155845,0.75,0.7386242319771731,0.7280546298669596,0.06561673228343176,0.06561673228343179,0.05798120473650688,0.06561673228343179,0.07300536093767515,0.07031802491179781
12,0.7533333333333333,0.7533333333333333,0.7886190476190477,0.7533333333333333,0.7495774225774225,0.729675960914155,0.09817784316682095,0.09817784316682096,0.08429609855171573,0.09817784316682096,0.10253861200778772,0.10762633398963532
13,0.76,0.76,0.7975518370518371,0.76,0.7537269541603908,0.739018475220604,0.07031674369909661,0.07031674369909667,0.06233205694427021,0.07031674369909667,0.07618041256526376,0.0752204943884834
14,0.7233333333333333,0.7233333333333333,0.769984126984127,0.7233333333333333,0.7097681762681762,0.6986857285631898,0.043461349368017654,0.04346134936801762,0.05753129796600986,0.04346134936801762,0.032867074322113304,0.05053901720204971
15,0.8133333333333332,0.8133333333333332,0.8491428571428573,0.8133333333333332,0.8140333555333555,0.7961593905872328,0.09675283515799997,0.09675283515799996,0.07643647044183458,0.09675283515799996,0.0946034842035263,0.10573277725786472
16,0.8233333333333335,0.8233333333333335,0.843488455988456,0.8233333333333335,0.8168700058111824,0.8068653372313473,0.07226494462892934,0.07226494462892936,0.06377303502544047,0.07226494462892936,0.07726041483937517,0.07824113446627674
17,0.79,0.79,0.807563492063492,0.79,0.78893672993673,0.7687319204399804,0.10314498964510538,0.10314498964510531,0.10198243467189556,0.10314498964510531,0.1055552783645285,0.11387843590218648
18,0.8266666666666668,0.8266666666666665,0.8464314574314574,0.8266666666666665,0.8262882215823393,0.8097711170577009,0.053489355119603996,0.053489355119603905,0.042790061422752636,0.053489355119603905,0.05285899468230383,0.05801634054732261
19,0.7866666666666666,0.7866666666666667,0.8142698412698414,0.7866666666666667,0.7793796203796204,0.7671577860773543,0.08449194570424384,0.08449194570424388,0.07223500671776285,0.08449194570424388,0.08982037292750418,0.0912977893803478
20,0.7933333333333333,0.7933333333333333,0.8101031746031746,0.7933333333333333,0.791954600954601,0.7725343715565509,0.0854725426997206,0.08547254269972054,0.08968259060259827,0.08547254269972054,0.08926854412114603,0.09444257050760393
21,0.7933333333333333,0.7933333333333333,0.8105952380952381,0.7933333333333333,0.7916780996780997,0.7729357925602967,0.0821583836257749,0.08215838362577489,0.08145302125275536,0.08215838362577489,0.08487905849992607,0.09001355480477267
22,0.8233333333333335,0.8233333333333335,0.8399047619047619,0.8233333333333335,0.8244155844155845,0.8053484092052369,0.0854725426997206,0.08547254269972056,0.0753524127756445,0.08547254269972056,0.08249774091620243,0.09464689591545372
23,0.8099999999999999,0.8099999999999999,0.8196190476190477,0.8099999999999999,0.8056035631035631,0.7910652020546654,0.04183300132670379,0.04183300132670378,0.04538833135931266,0.04183300132670378,0.04860923951214236,0.04500872197241339
24,0.8266666666666668,0.8266666666666665,0.8481666666666667,0.8266666666666665,0.8239160839160838,0.8100751840175615,0.0480162009696265,0.04801620096962658,0.04560018001317055,0.04801620096962658,0.045598569185304395,0.053741658233316184
25,0.8366666666666667,0.8366666666666667,0.858527417027417,0.8366666666666667,0.8372618753795225,0.8211167959394414,0.07011894655987543,0.0701189465598754,0.0656563622089042,0.0701189465598754,0.0671192523120393,0.07754525252642974
26,0.8233333333333335,0.8233333333333335,0.8448968253968253,0.8233333333333335,0.8196644466644466,0.8067342471706673,0.050826502273256295,0.05082650227325637,0.035876632771729616,0.05082650227325637,0.048065823930317914,0.05550256611436632
27,0.8266666666666668,0.8266666666666665,0.8412142857142857,0.8266666666666665,0.8254675324675326,0.8093501625738583,0.06411794687223785,0.06411794687223785,0.06647242109657142,0.06411794687223785,0.06533894076120733,0.07124304881722845
28,0.82,0.82,0.841468253968254,0.82,0.8151679431679432,0.8029532571881145,0.06603870918719652,0.06603870918719645,0.060285797349425005,0.06603870918719645,0.07148537940933795,0.07202830132462774
29,0.8166666666666667,0.8166666666666667,0.8312539682539682,0.8166666666666667,0.8137476967476968,0.7987632699554534,0.08740073734751261,0.0874007373475126,0.10111113291470196,0.0874007373475126,0.09464806080196131,0.09696743418975047
30,0.8099999999999999,0.8099999999999999,0.8311587301587302,0.8099999999999999,0.8047600177600177,0.7921844359691492,0.08628119403696521,0.08628119403696523,0.08205561178430171,0.08628119403696523,0.0886526378334358,0.09479781865532545
31,0.7766666666666666,0.7766666666666667,0.7991825396825397,0.7766666666666667,0.7649110334110334,0.756744938867398,0.054772255750516606,0.05477225575051668,0.0696488013562351,0.05477225575051668,0.05635623687526414,0.06079827560310094
32,0.79,0.79,0.803674603174603,0.79,0.7810518925518926,0.770426181877755,0.06932211447695143,0.06932211447695143,0.07821212941870725,0.06932211447695143,0.07617923924501666,0.07599991428922037
33,0.8300000000000001,0.8300000000000001,0.8443528138528139,0.8300000000000001,0.8221530952707423,0.8145374327952399,0.08771798244627182,0.08771798244627173,0.0850841698344064,0.08771798244627173,0.09127189755246887,0.09629342837138732
34,0.7933333333333333,0.7933333333333333,0.8233174603174603,0.7933333333333333,0.791969696969697,0.7742828015487786,0.048016200969626416,0.0480162009696264,0.05401770755878834,0.0480162009696264,0.04556606801681825,0.05411879870012744
