ExperimentID,Fold,Topics,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC
F1_K002,1,2,0.31666666666666665,0.3166666666666667,0.2324122807017544,0.3166666666666667,0.2055824175824176,0.2643062697568944
F1_K003,1,3,0.5166666666666667,0.5166666666666666,0.5023015873015872,0.5166666666666666,0.4577289377289377,0.47810674339434456
F1_K004,1,4,0.6,0.6,0.5826767676767676,0.6,0.5579360835243189,0.5654140912898757
F1_K005,1,5,0.65,0.65,0.730952380952381,0.65,0.6235347985347985,0.6235523079259625
F1_K006,1,6,0.7,0.7,0.7865079365079365,0.7,0.6824719724719726,0.6765530977593188
F1_K007,1,7,0.75,0.75,0.7671428571428571,0.75,0.7446853146853145,0.7246867693086017
F1_K008,1,8,0.8333333333333334,0.8333333333333334,0.838095238095238,0.8333333333333334,0.8202863802863802,0.817849517366696
F1_K009,1,9,0.75,0.75,0.6891666666666666,0.75,0.6999206349206349,0.7315386718228829
F1_K010,1,10,0.8,0.8,0.8163095238095238,0.8,0.7980752580752581,0.7799473155423549
F1_K011,1,11,0.8166666666666667,0.8166666666666667,0.8233333333333335,0.8166666666666667,0.8136829836829838,0.7975280005070088
F1_K012,1,12,0.7833333333333333,0.7833333333333334,0.8195238095238094,0.7833333333333334,0.7550582750582749,0.7656666239879274
F1_K013,1,13,0.8333333333333334,0.8333333333333334,0.8603571428571428,0.8333333333333334,0.832201132201132,0.817595329476371
F1_K014,1,14,0.9,0.9,0.9097619047619048,0.9,0.8972993672993672,0.8905395660560379
F1_K015,1,15,0.95,0.9500000000000002,0.9571428571428571,0.9500000000000002,0.9496503496503497,0.9453201464818493
F1_K016,1,16,0.8166666666666667,0.8166666666666667,0.8536507936507937,0.8166666666666667,0.8007264957264958,0.8032683793948114
F1_K017,1,17,0.9,0.9,0.917261904761905,0.9,0.896953046953047,0.891091838708226
F1_K018,1,18,0.9666666666666667,0.9666666666666666,0.9714285714285715,0.9666666666666666,0.9646153846153845,0.9638558356285521
F1_K019,1,19,0.7833333333333333,0.7833333333333334,0.7317460317460318,0.7833333333333334,0.7415384615384616,0.7671126434517106
F1_K020,1,20,0.7666666666666667,0.7666666666666667,0.8162878787878789,0.7666666666666667,0.7588956794839147,0.747696205456059
F1_K021,1,21,0.9,0.9,0.9142857142857144,0.9,0.8970629370629369,0.8908155739864388
F1_K022,1,22,0.95,0.95,0.9547619047619047,0.95,0.9497668997668998,0.94502797520413
F1_K023,1,23,0.9166666666666666,0.9166666666666667,0.9154761904761906,0.9166666666666667,0.9125641025641027,0.9082487681884435
F1_K024,1,24,0.9166666666666666,0.9166666666666667,0.9412698412698413,0.9166666666666667,0.9207925407925407,0.9096562520146473
F1_K025,1,25,0.9333333333333333,0.9333333333333333,0.9404761904761905,0.9333333333333333,0.9343822843822844,0.9264980149060098
F1_K026,1,26,0.9166666666666666,0.9166666666666667,0.9204761904761906,0.9166666666666667,0.916200466200466,0.9079680546078895
F1_K027,1,27,0.9166666666666666,0.9166666666666667,0.9321428571428572,0.9166666666666667,0.911122211122211,0.9099385347994139
F1_K028,1,28,0.9166666666666666,0.9166666666666666,0.925,0.9166666666666666,0.9157142857142857,0.9085297422920523
F1_K029,1,29,0.9,0.9,0.9157142857142858,0.9,0.8940392940392942,0.8916451401205645
F1_K030,1,30,0.9166666666666666,0.9166666666666666,0.9357142857142856,0.9166666666666666,0.9156410256410258,0.9099385347994139
F1_K031,1,31,0.9333333333333333,0.9333333333333333,0.9464285714285715,0.9333333333333333,0.9279054279054278,0.9282206653210687
F1_K032,1,32,0.9166666666666666,0.9166666666666666,0.9323809523809524,0.9166666666666666,0.9159440559440559,0.9096562520146473
F1_K033,1,33,0.8833333333333333,0.8833333333333334,0.9126984126984128,0.8833333333333334,0.8735897435897435,0.8747005979469586
F1_K034,1,34,0.85,0.85,0.8730952380952381,0.85,0.8456676656676656,0.83669721390332
F1_K035,1,35,0.8833333333333333,0.8833333333333334,0.9095238095238095,0.8833333333333334,0.8733566433566434,0.8744280630913179
F1_K036,1,36,0.8833333333333333,0.8833333333333334,0.9014285714285715,0.8833333333333334,0.8772560772560771,0.8733404655770327
F1_K037,1,37,0.9333333333333333,0.9333333333333333,0.9428571428571428,0.9333333333333333,0.931048951048951,0.9273581401244287
F1_K038,1,38,0.8666666666666667,0.8666666666666666,0.886547619047619,0.8666666666666666,0.863086913086913,0.8544932592822077
F1_K039,1,39,0.8833333333333333,0.8833333333333334,0.9089285714285715,0.8833333333333334,0.8717582417582419,0.8744280630913179
F1_K040,1,40,0.9,0.9,0.919047619047619,0.9,0.8965501165501166,0.8916451401205645
F1_K041,1,41,0.9,0.9000000000000001,0.926984126984127,0.9000000000000001,0.904009324009324,0.891368360619834
F1_K042,1,42,0.8666666666666667,0.8666666666666666,0.8788095238095238,0.8666666666666666,0.8520313020313021,0.8550244954288185
F1_K043,1,43,0.7833333333333333,0.7833333333333333,0.8505952380952382,0.7833333333333333,0.7646911421911422,0.7675964736123649
