Topics,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC,AccuracyStd,BalancedAccuracyStd,PrecisionStd,RecallStd,F1Std,MCCStd
2,0.31333333333333335,0.31333333333333335,0.20885799171588645,0.31333333333333335,0.20841279548042757,0.26257256476992025,0.0273861278752583,0.027386127875258303,0.0539791412171872,0.027386127875258303,0.035442355442073,0.03034253761350941
3,0.4533333333333333,0.4533333333333333,0.4637203457017698,0.4533333333333333,0.4050313786152525,0.40791379014043827,0.04314059701848263,0.043140597018482614,0.06790537897098266,0.043140597018482614,0.037276097122877196,0.050954984872920564
4,0.5466666666666666,0.5466666666666666,0.5548210678210678,0.5466666666666666,0.5125561497326203,0.5065208603551661,0.054518090779320384,0.05451809077932042,0.035066462802009125,0.05451809077932042,0.05565300249936505,0.058103472278811436
5,0.5833333333333334,0.5833333333333333,0.6027258297258297,0.5833333333333333,0.5525118476294948,0.545707759788528,0.042491829279939886,0.042491829279939906,0.07959537992275949,0.042491829279939906,0.046259826403600754,0.04866684059581761
6,0.64,0.64,0.6825281385281385,0.64,0.6123660653072418,0.6115348484441212,0.045030853620354264,0.045030853620354264,0.06567518261183274,0.045030853620354264,0.055410343205809606,0.04712753245486329
7,0.7033333333333334,0.7033333333333334,0.7300323565323565,0.7033333333333334,0.6813319472065602,0.6792267090804639,0.054518090779320405,0.05451809077932046,0.09516908948806163,0.05451809077932046,0.07763640984409854,0.05458147622315432
8,0.7266666666666667,0.7266666666666668,0.7327821067821068,0.7266666666666668,0.7038223312635077,0.7029750924573481,0.0862811940369653,0.08628119403696521,0.11767923435615607,0.08628119403696521,0.10078652510425079,0.09387026192900938
9,0.7266666666666667,0.7266666666666668,0.7297258297258298,0.7266666666666668,0.7015175641352112,0.7030268582288278,0.03456073558887955,0.034560735588879586,0.07426959724304844,0.034560735588879586,0.0466219697264834,0.03785968588787424
10,0.77,0.77,0.7862380952380953,0.77,0.7637460317460317,0.7478781627576313,0.06497862896539312,0.06497862896539312,0.06461196973203227,0.06497862896539312,0.06789543695814233,0.07084204858083616
11,0.77,0.77,0.7951507936507938,0.77,0.7587613497613498,0.7489304178481037,0.04624812308503871,0.04624812308503871,0.03907447215123589,0.04624812308503871,0.049297075994849136,0.051280869204571235
