DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
8042410,108,0,0.0021746072,0.0021691024,0.4673174,0.0021747947,0.23562771,0.28835928,0.0021771076
8132718,108,0,0.001525467,0.6061385,0.38624352,0.0015225091,0.0015221032,0.0015222213,0.0015256368
8673465,108,0,0.018888792,0.0016259903,0.9729742,0.0016265746,0.0016261713,0.0016271269,0.0016311116
8707050,108,0,0.0024671531,0.24935842,0.73830366,0.0024692111,0.0024677876,0.0024659915,0.0024679026
9175625,108,0,0.0016283371,0.2080005,0.7838623,0.0016251508,0.0016296541,0.0016254353,0.0016287203
9245791,108,0,0.0032582465,0.003254393,0.6868035,0.0032558313,0.0032522313,0.0032600323,0.2969157
9346876,108,0,0.0016884747,0.0016866173,0.98988664,0.0016835129,0.0016842239,0.0016848492,0.0016857419
9352931,108,0,0.0018131329,0.0018126991,0.9891222,0.0018137925,0.0018128403,0.0018132278,0.0018120776
9591694,108,0,0.0015438421,0.0015440976,0.9907503,0.0015422768,0.001540888,0.0015388406,0.0015397402
10100328,108,0,0.002017645,0.0020201204,0.91400135,0.002016064,0.0020172263,0.002013809,0.075913794
10531012,108,0,0.0015929381,0.0015911942,0.9904603,0.0015890358,0.0015892374,0.0015881971,0.0015890857
10700148,108,0,0.0043431725,0.004343436,0.9739547,0.0043365206,0.0043452797,0.004337259,0.004339657
10725388,108,0,0.115133435,0.1457412,0.732896,0.0015577029,0.0015555929,0.0015582396,0.0015577977
10969025,108,0,0.0020457902,0.0020461038,0.0020489292,0.0020433313,0.0020472342,0.0020429548,0.9877256
12217649,108,0,0.0021720384,0.0021735523,0.986982,0.00216694,0.0021680233,0.0021667613,0.002170775
12297500,108,0,0.0015085149,0.0015099499,0.9909491,0.0015074229,0.0015068185,0.0015101132,0.001508091
12415118,108,0,0.0018621436,0.0018665122,0.98882765,0.0018627768,0.0018579916,0.0018589284,0.0018639468
12417022,108,0,0.0021447719,0.05259617,0.5676579,0.002139593,0.0021374933,0.002138034,0.37118608
12461557,108,0,0.004108797,0.0041281106,0.97537184,0.004095254,0.0041089617,0.004085106,0.004101938
12496124,108,0,0.002809465,0.14951837,0.8364301,0.0028118764,0.0028153253,0.0028041904,0.0028107332
12496132,108,0,0.0013768349,0.0013760811,0.99174243,0.0013758112,0.0013765126,0.0013753881,0.0013769387
12511612,108,0,0.0012794618,0.001279702,0.9923262,0.0012782481,0.0012783629,0.0012788217,0.0012791816
12516859,108,0,0.0029858176,0.0029876581,0.8856829,0.002983808,0.0029985406,0.002979564,0.09938173
12516860,108,0,0.0028731057,0.110439524,0.87522656,0.0028644742,0.0028680402,0.002861593,0.0028667552
9149812,109,1,0.12040079,0.5179353,0.0017726341,0.13868082,0.2176759,0.001766914,0.0017676668
9187765,109,1,0.386714,0.32455608,0.0038775366,0.17094384,0.0038778041,0.0038778302,0.10615293
9666006,109,1,0.9773723,0.0037824493,0.0037660883,0.0037662121,0.003772889,0.0037684164,0.0037718276
9676381,109,1,0.9869482,0.0021758424,0.00217997,0.0021760608,0.0021761926,0.0021745537,0.002169187
9836710,109,1,0.54185206,0.13367926,0.004345404,0.004336707,0.30709442,0.0043488136,0.0043433458
9889212,109,1,0.64241403,0.16890974,0.0014486911,0.0014483221,0.1828858,0.0014454665,0.0014478537
10029323,109,1,0.0013908154,0.99165916,0.0013897466,0.0013885815,0.0013938326,0.0013882164,0.0013897024
10084106,109,1,0.001885408,0.9886896,0.0018829011,0.0018863973,0.0018862213,0.0018850563,0.00188445
10224010,109,1,0.0028154487,0.0028124363,0.0028092759,0.0028065327,0.98314536,0.002804189,0.00280672
10419204,109,1,0.31244203,0.0017902052,0.0017959212,0.13013968,0.55024326,0.0017890248,0.0017998054
10440566,109,1,0.5840666,0.2432054,0.0025113611,0.16266622,0.0025188616,0.0025152413,0.0025161824
10599890,109,1,0.22016335,0.4461309,0.0018615201,0.32625684,0.0018647752,0.0018610165,0.0018615444
10620568,109,1,0.5920798,0.23884894,0.0018404874,0.16171579,0.001837882,0.0018382773,0.0018387376
10652180,109,1,0.21296768,0.0019109634,0.0019159691,0.1520833,0.62730455,0.001908027,0.0019094982
10713370,109,1,0.0017923423,0.0017930531,0.0017918394,0.0017916687,0.989244,0.0017889015,0.0017982152
10877778,109,1,0.5612941,0.1047757,0.0018164247,0.025251115,0.30323502,0.001813626,0.0018140218
10966386,109,1,0.0025127477,0.0025111672,0.0025164206,0.0025146788,0.98492223,0.0025132915,0.002509452
10966441,109,1,0.42881674,0.23521197,0.0022374203,0.0022383211,0.32701734,0.0022366887,0.002241451
12144770,109,1,0.0022416022,0.002241448,0.0022392275,0.0022386066,0.9865636,0.0022387265,0.0022367404
12211279,109,1,0.6282308,0.0011676863,0.0011635931,0.0011635809,0.36594713,0.0011624907,0.001164672
12218656,109,1,0.37285683,0.45141113,0.002244059,0.1667558,0.0022402352,0.002250607,0.0022414294
12374402,109,1,0.0021127705,0.0021110107,0.0021124554,0.002105266,0.6790584,0.0021036915,0.3103965
12454166,109,1,0.0015421202,0.0015403556,0.0015401134,0.0015404652,0.18838724,0.0015410209,0.8039087
12495014,109,1,0.98462725,0.0025616772,0.0025637725,0.002563165,0.0025661846,0.0025538981,0.002564119
7774117,111,2,0.0015073068,0.0015126424,0.0015063242,0.0015076358,0.0015055765,0.85186446,0.1405961
7856030,111,2,0.0029856784,0.0029834535,0.0029817559,0.3882261,0.002980331,0.59685963,0.002983083
7927332,111,2,0.0015934233,0.056761414,0.0015910052,0.22809477,0.0015906278,0.7087762,0.0015925684
7936296,111,2,0.0029272132,0.35420808,0.0029308368,0.002930785,0.0029310246,0.63114256,0.002929569
7991124,111,2,0.0020460445,0.25711712,0.0020446086,0.002047775,0.002043754,0.7326536,0.0020470512
8137126,111,2,0.0023899586,0.0023894361,0.11333949,0.0023857635,0.0023933565,0.65725136,0.21985064
8137132,111,2,0.0013154555,0.15324989,0.0013162373,0.0013142639,0.0013186557,0.84017086,0.0013146652
8618678,111,2,0.0034078704,0.0034072371,0.0034090555,0.003409835,0.0034190041,0.97954136,0.0034055666
8657630,111,2,0.0037627872,0.0037784271,0.0037676475,0.0037719833,0.0037790008,0.5914599,0.38968024
8682199,111,2,0.0015088472,0.0015103196,0.0015093671,0.0015085925,0.0015065211,0.6944843,0.2979721
8707291,111,2,0.0012142335,0.34806836,0.001213185,0.0012169634,0.0012144479,0.64585805,0.0012147578
8797471,111,2,0.002167108,0.0021665995,0.0021670733,0.0021737723,0.0021662433,0.986989,0.0021702694
8797472,111,2,0.0025568244,0.0025545412,0.0025571212,0.0025582858,0.00256695,0.98464984,0.002556467
