DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8
8042410,108,0,0.0018979566,0.0018966602,0.32930276,0.0018970978,0.21012141,0.31057057,0.14241375,0.0018997255
8132718,108,0,0.0013315368,0.99068016,0.0013326268,0.0013308077,0.0013305501,0.001330674,0.0013319597,0.0013316628
8673465,108,0,0.019549072,0.0014215371,0.9719196,0.0014217328,0.0014217346,0.0014217726,0.0014230213,0.001421593
8707050,108,0,0.0021567347,0.29606062,0.69099754,0.002157601,0.0021571242,0.0021564567,0.0021566222,0.0021572085
9175625,108,0,0.0014223418,0.35014218,0.6413244,0.0014212255,0.0014227093,0.0014215416,0.0014225263,0.0014231969
9245791,108,0,0.0028449758,0.0028444515,0.5508849,0.0028440647,0.0028426524,0.0028450286,0.4320463,0.002847723
9346876,108,0,0.0014729672,0.0014727305,0.98969436,0.0014716382,0.0014713309,0.001472311,0.0014724111,0.0014721676
9352931,108,0,0.0015839571,0.0015840139,0.9889116,0.001584229,0.0015841442,0.0015842401,0.0015838969,0.0015838598
9591694,108,0,0.0013470846,0.0013479133,0.99057674,0.001345944,0.0013451008,0.0013449668,0.0013455417,0.0013467934
10100328,108,0,0.0017623964,0.0017634784,0.93750304,0.0017621322,0.0017628281,0.0017613509,0.05192214,0.0017626096
10531012,108,0,0.0013911022,0.0013912268,0.99026906,0.0013895875,0.0013897404,0.0013893242,0.0013896767,0.0013902381
10700148,108,0,0.0037936855,0.003796959,0.89527607,0.0037915155,0.08196615,0.0037907935,0.003791194,0.0037936768
10725388,108,0,0.15758562,0.0013610284,0.83425146,0.0013602735,0.0013595195,0.0013602987,0.001361316,0.0013604892
10969025,108,0,0.0017878895,0.0017888595,0.0017892184,0.0017867078,0.0017882538,0.0017865347,0.9874859,0.0017867209
12217649,108,0,0.0018971746,0.0018972083,0.87071925,0.0018949299,0.0018952659,0.0018949158,0.0018976993,0.11790357
