Topic,Documents
Topic_1,2
Topic_10,3
Topic_11,2
Topic_12,2
Topic_13,4
Topic_14,7
Topic_15,2
Topic_16,3
Topic_17,2
Topic_18,7
Topic_2,14
Topic_20,5
Topic_21,2
Topic_22,1
Topic_23,3
Topic_24,5
Topic_25,1
Topic_26,7
Topic_27,7
Topic_28,2
Topic_29,3
Topic_3,3
Topic_30,8
Topic_31,2
Topic_32,7
Topic_33,4
Topic_34,2
Topic_36,4
Topic_37,3
Topic_38,1
Topic_39,5
Topic_4,4
Topic_40,6
Topic_41,2
Topic_42,7
Topic_43,3
Topic_44,2
Topic_45,2
Topic_46,5
Topic_48,5
Topic_49,5
Topic_5,3
Topic_50,11
Topic_51,3
Topic_52,6
Topic_53,5
Topic_54,6
Topic_55,1
Topic_56,1
Topic_57,1
Topic_58,4
Topic_59,2
Topic_6,6
Topic_7,1
Topic_8,11
Topic_9,15
