DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
8042410,108,0,0.18481304,0.0014498783,0.5666412,0.09195625,0.11884254,0.0014497461,0.0014499878,0.0014498901,0.001449763,0.030497694
8673465,108,0,0.0011367832,0.82357204,0.001136811,0.0011365822,0.16733482,0.0011366067,0.001136643,0.0011366671,0.0011365034,0.0011365538
9175625,108,0,0.0012823598,0.15179196,0.49911803,0.0012823314,0.27782166,0.06357427,0.0012825863,0.0012824002,0.0012822488,0.0012822388
9245791,108,0,0.0023260773,0.979065,0.0023263665,0.0023260894,0.0023259486,0.0023260969,0.0023262152,0.0023259833,0.0023261348,0.0023260152
9346876,108,0,0.0012051598,0.47611174,0.15910716,0.0012050961,0.12862238,0.0012052659,0.22892793,0.0012050391,0.0012051616,0.0012051397
9352931,108,0,0.0012348689,0.15600742,0.5464322,0.0012347978,0.0012348576,0.0012349269,0.28891638,0.0012347761,0.0012348137,0.0012349444
10051610,108,0,0.002381565,0.0023820356,0.9785667,0.002381323,0.0023812784,0.00238145,0.002381491,0.0023812943,0.0023812673,0.0023814356
10087618,108,0,0.0034487345,0.0034497094,0.0034495122,0.0034495615,0.9689569,0.0034490447,0.003449184,0.0034489247,0.0034494225,0.0034490507
10320929,108,0,0.0021288781,0.1354366,0.508234,0.0021283193,0.21261396,0.0021283696,0.13094366,0.002128475,0.002128954,0.0021288025
10700148,108,0,0.0027786538,0.0027789176,0.2207475,0.08836558,0.23382276,0.15352128,0.28965038,0.002778315,0.002778393,0.002778248
10725388,108,0,0.0010990887,0.99010754,0.0010992192,0.0010991124,0.0010992147,0.0010993188,0.0010992502,0.0010990701,0.0010991503,0.0010990697
10806067,108,0,0.0012196812,0.0012197252,0.98902303,0.0012196328,0.0012196781,0.0012196365,0.0012197173,0.0012196639,0.0012196217,0.0012196293
10946305,108,0,0.0016396989,0.0016401319,0.98524153,0.0016395967,0.0016397613,0.0016402471,0.0016399007,0.0016397361,0.0016397455,0.0016396854
10969025,108,0,0.0014928655,0.9865642,0.0014931242,0.0014926868,0.0014930831,0.0014929838,0.0014927664,0.0014927561,0.0014927189,0.0014928095
11950889,108,0,0.0010001768,0.0010002651,0.9909982,0.0010001886,0.0010001903,0.0010002415,0.001000193,0.001000203,0.0010001233,0.0010001474
12217649,108,0,0.0016131507,0.53680885,0.0016135902,0.0016130272,0.001613375,0.45028517,0.0016132476,0.0016131348,0.0016132478,0.0016132039
12297500,108,0,0.0010872186,0.0010873453,0.0010872892,0.0010871589,0.0010871458,0.9902152,0.0010872737,0.0010870823,0.0010872118,0.0010871848
12415118,108,0,0.0013701047,0.0013701632,0.98766875,0.0013700072,0.0013704078,0.0013701177,0.0013702491,0.0013700482,0.001370129,0.0013700362
12417022,108,0,0.001562887,0.0015632068,0.4813253,0.0015628876,0.0015630927,0.0015628726,0.50617117,0.0015627326,0.001562966,0.0015628719
12461557,108,0,0.0030315185,0.7545512,0.003031156,0.0030307602,0.22120076,0.0030310948,0.0030312983,0.0030307658,0.0030306012,0.003030918
12496124,108,0,0.0020839295,0.002084456,0.002084395,0.0020840315,0.37749726,0.37751046,0.230403,0.002084017,0.0020843558,0.002084022
12496132,108,0,0.0012196617,0.0012199002,0.001219935,0.001219617,0.0012199818,0.9890223,0.0012196733,0.00121968,0.0012196915,0.0012196511
12516859,108,0,0.002084467,0.0020843202,0.25481158,0.0020839195,0.171516,0.462193,0.09897334,0.0020852152,0.002084129,0.0020839847
12516860,108,0,0.0020413504,0.74014765,0.0020417036,0.0020411627,0.24352176,0.0020413708,0.0020414756,0.0020412349,0.0020411578,0.002041369
8908519,109,1,0.01828839,0.0015630388,0.001562995,0.001562905,0.74599606,0.0015633366,0.13925982,0.0015631373,0.087077476,0.0015629594
8940425,109,1,0.001190733,0.25200436,0.0011909578,0.0011905908,0.7384693,0.0011908324,0.001190825,0.0011908662,0.0011907752,0.0011906937
9149812,109,1,0.0012823107,0.0012823275,0.0012823128,0.0012822318,0.98845947,0.0012822726,0.0012822704,0.0012822103,0.0012823732,0.0012822294
9187765,109,1,0.0027781744,0.0027783902,0.002778148,0.0027784067,0.97499645,0.0027780577,0.0027781432,0.0027781024,0.0027780256,0.0027781748
9676381,109,1,0.0015387274,0.001538744,0.0015387395,0.0015387333,0.98615116,0.0015387115,0.0015387038,0.0015388355,0.0015388085,0.0015387642
9836710,109,1,0.35179344,0.003031359,0.0030313327,0.0030314734,0.6239556,0.0030318876,0.0030317232,0.0030308422,0.0030309171,0.003031415
9889212,109,1,0.0010001659,0.0010001931,0.0010001587,0.0010001232,0.9909986,0.0010001572,0.0010001931,0.0010001246,0.0010001137,0.0010002003
10084106,109,1,0.0013335365,0.0013336485,0.0013336241,0.0013337011,0.92772436,0.0013334729,0.0013335402,0.0013337352,0.06160685,0.001333561
10224010,109,1,0.22090605,0.0020414295,0.0020414316,0.0020411338,0.72008,0.044723757,0.0020418402,0.0020413355,0.0020417252,0.0020412183
10419204,109,1,0.0012349555,0.30435565,0.0012348327,0.0012346836,0.6857658,0.0012347994,0.0012348195,0.0012348295,0.0012347671,0.0012347997
10457842,109,1,0.0016669282,0.35275537,0.001667118,0.001667146,0.6339086,0.0016670361,0.0016669384,0.0016668655,0.0016669754,0.0016669717
10574095,109,1,0.0024393816,0.0024395208,0.0024396535,0.0024392982,0.97804505,0.0024393592,0.0024394249,0.002439367,0.002439475,0.0024393797
