TopicID,Topic,Rank,WordID,Word,Probability
0,Topic_1,1,186,signaling,0.04813504
0,Topic_1,2,782,insulin,0.046300344
0,Topic_1,3,152,activation,0.032972895
0,Topic_1,4,18,expression,0.028826509
0,Topic_1,5,460,pathway,0.027250724
0,Topic_1,6,178,phosphorylation,0.026275352
0,Topic_1,7,745,growth,0.023537872
0,Topic_1,8,780,breast,0.021423887
0,Topic_1,9,154,activity,0.021278989
0,Topic_1,10,174,kinase,0.020053552
0,Topic_1,11,513,cancer,0.017916197
0,Topic_1,12,722,downstream,0.015674317
0,Topic_1,13,426,treatment,0.015576671
0,Topic_1,14,380,type,0.01520842
0,Topic_1,15,557,potential,0.014933562
0,Topic_1,16,222,embryo,0.014730331
0,Topic_1,17,229,line,0.0144226
0,Topic_1,18,770,inhibitor,0.014125256
0,Topic_1,19,283,involved,0.0131749045
0,Topic_1,20,126,response,0.012969095
1,Topic_2,1,602,mutation,0.039615244
1,Topic_2,2,88,result,0.02935593
1,Topic_2,3,273,beta,0.024803352
1,Topic_2,4,554,disease,0.016383586
1,Topic_2,5,321,effect,0.014192211
1,Topic_2,6,427,construct,0.010655184
1,Topic_2,7,78,mutant,0.010655184
1,Topic_2,8,825,app,0.010655183
1,Topic_2,9,494,processing,0.010655183
1,Topic_2,10,854,presenilin,0.010655183
1,Topic_2,11,642,case,0.01065512
1,Topic_2,12,452,test,0.010655116
1,Topic_2,13,127,size,0.010655116
1,Topic_2,14,132,within,0.010655089
1,Topic_2,15,403,high,0.010404348
1,Topic_2,16,95,two,0.010028362
1,Topic_2,17,550,report,0.009017893
1,Topic_2,18,359,clone,0.008833625
1,Topic_2,19,98,used,0.007375676
1,Topic_2,20,530,cause,0.007118131
2,Topic_3,1,735,repair,0.043901365
2,Topic_3,2,478,dna,0.032775722
2,Topic_3,3,113,function,0.021996241
2,Topic_3,4,166,genomic,0.021996241
2,Topic_3,5,88,result,0.015728101
2,Topic_3,6,441,component,0.014694521
2,Topic_3,7,73,however,0.014694521
2,Topic_3,8,533,nucleotide,0.014694521
2,Topic_3,9,280,human,0.014694521
2,Topic_3,10,126,response,0.014694521
2,Topic_3,11,840,damage,0.014694521
2,Topic_3,12,229,line,0.014694519
2,Topic_3,13,594,uv,0.014694519
2,Topic_3,14,8,cellular,0.014694519
2,Topic_3,15,753,apoptosis,0.014694519
2,Topic_3,16,490,comparable,0.014694383
2,Topic_3,17,175,known,0.014694383
2,Topic_3,18,20,found,0.013574694
2,Topic_3,19,637,significantly,0.012042905
2,Topic_3,20,45,specific,0.010347852
3,Topic_4,1,208,region,0.030149003
3,Topic_4,2,117,level,0.025134617
3,Topic_4,3,482,patient,0.025134591
3,Topic_4,4,705,adenoma,0.020120166
3,Topic_4,5,326,individual,0.020120166
3,Topic_4,6,18,expression,0.019957624
3,Topic_4,7,280,human,0.018553302
3,Topic_4,8,14,differentiation,0.015105777
3,Topic_4,9,506,clinical,0.015105719
3,Topic_4,10,244,variant,0.0151057085
3,Topic_4,11,667,assess,0.0151057085
3,Topic_4,12,391,feature,0.01510569
3,Topic_4,13,602,mutation,0.015000793
3,Topic_4,14,637,significantly,0.010091348
3,Topic_4,15,486,sample,0.010091348
3,Topic_4,16,742,prognosis,0.010091348
3,Topic_4,17,136,associated,0.010091348
3,Topic_4,18,689,blood,0.010091348
3,Topic_4,19,467,mrna,0.010091348
3,Topic_4,20,5,analysis,0.010091348
4,Topic_5,1,18,expression,0.15628552
4,Topic_5,2,741,metastasis,0.10278122
4,Topic_5,3,806,lymph,0.081530154
4,Topic_5,4,808,node,0.07875247
4,Topic_5,5,719,carcinoma,0.07425619
4,Topic_5,6,52,tumor,0.049369216
4,Topic_5,7,46,staining,0.042163417
4,Topic_5,8,495,reduced,0.03842088
4,Topic_5,9,338,correlation,0.022676954
