Fold,Topics,DictionarySize,Documents,TrainingTime,LogPerplexityTrain,Status
3,2,857,240,3.6817,-6.2482707571133735,Success
3,3,857,240,3.7922,-6.1825995013289985,Success
3,4,857,240,2.541,-6.157839752790116,Success
3,5,857,240,2.577,-6.159163391603012,Success
3,6,857,240,3.7932,-6.1856626866721145,Success
3,7,857,240,3.0145,-6.225675062082227,Success
3,8,857,240,2.418,-6.230641690527171,Success
3,9,857,240,2.5116,-6.2210385426348775,Success
3,10,857,240,3.9282,-6.19326857276095,Success
3,11,857,240,2.8609,-6.215601720650874,Success
3,12,857,240,2.3725,-6.219419841900856,Success
3,13,857,240,2.4596,-6.215835696704129,Success
3,14,857,240,4.1986,-6.27144899861016,Success
3,15,857,240,2.6703,-6.226687878616277,Success
3,16,857,240,2.4232,-6.221130914576006,Success
3,17,857,240,2.3984,-6.250378610790301,Success
3,18,857,240,4.1495,-6.218060245431534,Success
3,19,857,240,2.4724,-6.266091856615419,Success
3,20,857,240,2.4462,-6.300262008183179,Success
3,21,857,240,2.3851,-6.2694891582191135,Success
3,22,857,240,4.1468,-6.2821499398893765,Success
3,23,857,240,2.543,-6.325160509939313,Success
3,24,857,240,2.3835,-6.29694510311382,Success
3,25,857,240,2.4348,-6.297860435537115,Success
3,26,857,240,3.8173,-6.3111846296206515,Success
3,27,857,240,2.359,-6.295850383744756,Success
3,28,857,240,2.8267,-6.368077199657362,Success
3,29,857,240,2.5992,-6.371284215846724,Success
3,30,857,240,4.1456,-6.410652106950474,Success
3,31,857,240,2.5463,-6.391303970952593,Success
3,32,857,240,2.4571,-6.416590610317699,Success
3,33,857,240,3.4456,-6.420643305523351,Success
3,34,857,240,3.5258,-6.451165702765482,Success
3,35,857,240,2.5581,-6.440730536035613,Success
3,36,857,240,2.4608,-6.445504760755081,Success
3,37,857,240,3.8281,-6.472894208007935,Success
3,38,857,240,3.7529,-6.449460943537676,Success
3,39,857,240,4.208,-6.441041732992099,Success
3,40,857,240,6.0088,-6.473204549520541,Success
3,41,857,240,3.8333,-6.4977470275218,Success
3,42,857,240,3.9715,-6.506608808652036,Success
3,43,857,240,5.8979,-6.527046404444324,Success
3,44,857,240,3.7155,-6.494180174736264,Success
3,45,857,240,4.6954,-6.495592784354321,Success
3,46,857,240,5.294,-6.514133558745212,Success
3,47,857,240,4.0924,-6.54515907040303,Success
3,48,857,240,5.6897,-6.53617267657298,Success
3,49,857,240,4.2252,-6.582483848242495,Success
3,50,857,240,3.0739,-6.580701269930819,Success
3,51,857,240,4.7303,-6.5728598777337295,Success
3,52,857,240,2.9364,-6.559570492657558,Success
3,53,857,240,2.8355,-6.611341846710577,Success
3,54,857,240,4.1094,-6.643527868785876,Success
3,55,857,240,3.1936,-6.619101684376586,Success
3,56,857,240,2.8892,-6.627822425652224,Success
3,57,857,240,2.7385,-6.660186923709925,Success
3,58,857,240,4.4902,-6.615073725444601,Success
3,59,857,240,2.7272,-6.639758960597576,Success
3,60,857,240,2.7485,-6.649710977709259,Success
3,61,857,240,4.4224,-6.640230709767989,Success
3,62,857,240,3.3311,-6.653987909714431,Success
3,63,857,240,2.8535,-6.652520948023125,Success
3,64,857,240,3.3468,-6.649352275345331,Success
3,65,857,240,4.1684,-6.687491046403138,Success
3,66,857,240,3.0235,-6.673645335343918,Success
3,67,857,240,2.9799,-6.711189035808259,Success
3,68,857,240,4.8137,-6.687250640146379,Success
3,69,857,240,2.9603,-6.700693736470892,Success
3,70,857,240,3.1857,-6.719624659444677,Success
3,71,857,240,4.4511,-6.738808605211111,Success
3,72,857,240,3.2342,-6.764489476469169,Success
3,73,857,240,3.1986,-6.705185727232473,Success
3,74,857,240,4.2611,-6.731519110711602,Success
3,75,857,240,4.2521,-6.728152035211278,Success
3,76,857,240,4.7309,-6.770337048544992,Success
3,77,857,240,7.1338,-6.772538737026678,Success
3,78,857,240,6.2683,-6.7934113467547865,Success
3,79,857,240,7.3415,-6.741904079700335,Success
3,80,857,240,6.5734,-6.767435436315417,Success
3,81,857,240,7.9581,-6.775429638409822,Success
3,82,857,240,10.2695,-6.796203997048709,Success
3,83,857,240,11.1789,-6.794956662624747,Success
3,84,857,240,9.3981,-6.756614659716356,Success
3,85,857,240,9.9756,-6.774586315997712,Success
3,86,857,240,10.853,-6.753611065683567,Success
3,87,857,240,12.0791,-6.785941838909378,Success
3,88,857,240,10.706,-6.792538773632147,Success
3,89,857,240,10.9222,-6.768132508140355,Success
3,90,857,240,11.7106,-6.836647778476331,Success
3,91,857,240,12.511,-6.775125316040052,Success
3,92,857,240,10.1612,-6.804540917354527,Success
3,93,857,240,11.4919,-6.773656806877534,Success
3,94,857,240,11.656,-6.845737129699229,Success
3,95,857,240,12.3547,-6.837944489965511,Success
3,96,857,240,11.6463,-6.854128960350591,Success
3,97,857,240,11.9535,-6.837503638055523,Success
3,98,857,240,12.1899,-6.850542911167685,Success
3,99,857,240,9.4011,-6.840611469455875,Success
3,100,857,240,5.5249,-6.8785573724983236,Success
