DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4
8132718,108,0,0.0027210386,0.0026610703,0.99194604,0.0026717975
8673465,108,0,0.0028134394,0.0028319266,0.9914846,0.0028699883
8707050,108,0,0.004445806,0.0044503934,0.9866563,0.004447523
9175625,108,0,0.003034879,0.0030127512,0.9908951,0.0030571865
9245791,108,0,0.004866103,0.0048424276,0.9854478,0.004843698
9591694,108,0,0.0027310408,0.002782728,0.9916267,0.0028595214
10051610,108,0,0.006537753,0.18938401,0.7973719,0.006706321
10087618,108,0,0.008147019,0.0081272125,0.9756547,0.008071081
10100328,108,0,0.0038355011,0.0038075258,0.9885752,0.003781766
10320929,108,0,0.005529777,0.0055652354,0.98330843,0.005596536
10531012,108,0,0.0029532604,0.0029044554,0.99120545,0.002936814
10700148,108,0,0.007042214,0.0074678804,0.97817355,0.00731636
10725388,108,0,0.0029748727,0.0030802807,0.99081355,0.0031312816
10806067,108,0,0.0031602294,0.0031372535,0.99053043,0.0031720884
10946305,108,0,0.0044696964,0.0044365143,0.98660773,0.0044860714
11950889,108,0,0.0026911115,0.0027025084,0.99192417,0.0026822283
12217649,108,0,0.0039453576,0.003858678,0.9883167,0.00387919
12415118,108,0,0.0033643348,0.0034039966,0.9897489,0.0034828205
12461557,108,0,0.007408249,0.0073328973,0.9125384,0.07272038
12496124,108,0,0.0054766014,0.0056859595,0.98334503,0.0054924428
12496132,108,0,0.002665979,0.002658215,0.99194604,0.0027297116
12511612,108,0,0.0022540265,0.0022749584,0.99318516,0.002285888
12516859,108,0,0.0053303633,0.005223326,0.9839444,0.005501873
12516860,108,0,0.005207795,0.005137076,0.98394316,0.00571199
8908519,109,1,0.02920409,0.0038947754,0.0039201123,0.962981
8940425,109,1,0.0030172395,0.0029728462,0.0030792605,0.9909307
9149812,109,1,0.0032209624,0.0033604428,0.0033831247,0.9900355
9666006,109,1,0.006547804,0.00655006,0.00662894,0.9802731
9676381,109,1,0.13697577,0.004104008,0.0041942294,0.85472596
9836710,109,1,0.35125253,0.007602026,0.0076939547,0.6334515
9889212,109,1,0.030749526,0.002563212,0.0026754013,0.96401185
10029323,109,1,0.0024402998,0.0024596404,0.08084712,0.91425294
10419204,109,1,0.0033450115,0.0032747532,0.0033113656,0.9900689
10440566,109,1,0.0045546438,0.0048865145,0.0045980853,0.9859608
10457842,109,1,0.0040250514,0.0040658927,0.0040554916,0.9878535
10574095,109,1,0.0066972226,0.0066180793,0.0067036967,0.97998106
10599890,109,1,0.0033577576,0.0034207243,0.003408842,0.98981273
10620568,109,1,0.0034592513,0.06376299,0.09450058,0.83827716
10652180,109,1,0.0033866887,0.0033467102,0.0035486966,0.9897179
10713370,109,1,0.0033048352,0.0033189456,0.0033029672,0.9900732
10742226,109,1,0.0022171233,0.0022591075,0.0022245578,0.99329925
10769755,109,1,0.0035801,0.003613655,0.15976278,0.83304346
10877778,109,1,0.0033566002,0.003276888,0.003363443,0.99000305
10966386,109,1,0.0044344408,0.004533185,0.0045215725,0.98651075
10966441,109,1,0.0042015957,0.0041820584,0.0042083776,0.9874079
12211279,109,1,0.002076805,0.0020640774,0.0020718712,0.9937873
12218656,109,1,0.0046839104,0.15466322,0.0044833603,0.8361695
12495014,109,1,0.21555729,0.0046317684,0.10401217,0.6757988
1669719,111,2,0.0046225716,0.9866088,0.004518192,0.0042503686
7856030,111,2,0.0051084296,0.9845091,0.005125475,0.0052570133
7913756,111,2,0.0025729674,0.9925099,0.0024596446,0.0024574525
7927332,111,2,0.0029546104,0.9431433,0.002851595,0.051050514
7936296,111,2,0.0054168436,0.9839035,0.0054202424,0.005259398
8137132,111,2,0.13448821,0.7636698,0.09936565,0.0024764084
8682199,111,2,0.06456267,0.930202,0.0026394743,0.002595757
8707291,111,2,0.0022511303,0.9932584,0.0022340193,0.0022564824
8797471,111,2,0.0037395814,0.9887616,0.0037338973,0.0037648727
8797472,111,2,0.0046072644,0.9857213,0.00458944,0.0050819814
8841969,111,2,0.07504871,0.9175058,0.0037050992,0.0037403984
8937783,111,2,0.002952689,0.9912268,0.00288027,0.0029401775
9128415,111,2,0.002057732,0.9938061,0.0020654278,0.002070755
9239743,111,2,0.0038732798,0.98853993,0.003915457,0.003671236
9263413,111,2,0.011019355,0.966848,0.0110918805,0.011040703
9681800,111,2,0.0035762072,0.98910433,0.0035443727,0.0037750397
9789072,111,2,0.0027096027,0.99181896,0.0027441736,0.0027273153
9864731,111,2,0.003453621,0.9896159,0.00343295,0.00349751
10360778,111,2,0.0069054104,0.97933954,0.0068783946,0.006876635
10412591,111,2,0.0032550304,0.9901051,0.0034222289,0.0032176664
10932276,111,2,0.002290216,0.99307835,0.002308744,0.0023227073
12222676,111,2,0.0038103312,0.98870975,0.0038268603,0.0036531035
12420099,111,2,0.0034189567,0.98973066,0.0034159285,0.0034344252
12464332,111,2,0.0041889013,0.987099,0.004382387,0.0043296996
7866403,114,3,0.0033529077,0.10515363,0.003351093,0.8881424
7903889,114,3,0.16547082,0.44721094,0.0049709766,0.38234723
8111410,114,3,0.003158907,0.00325248,0.0031496303,0.990439
8118461,114,3,0.002854393,0.4867392,0.0029427838,0.5074636
8522331,114,3,0.0026975784,0.3488316,0.0026719104,0.64579886
8566954,114,3,0.0059948293,0.2531072,0.006020874,0.7348771
8616874,114,3,0.0028572248,0.0028092095,0.31638533,0.67794824
9140167,114,3,0.004134368,0.04451504,0.003902403,0.9474482
9156280,114,3,0.68258864,0.0026339951,0.0027164877,0.31206092
9196022,114,3,0.4169706,0.08056397,0.18021484,0.32225066
9276697,114,3,0.0026435743,0.0025374251,0.002580194,0.9922388
9399850,114,3,0.37537622,0.016948355,0.016076569,0.5915988
9536987,114,3,0.0030522444,0.0030580226,0.4154694,0.5784203
9566701,114,3,0.004116237,0.0038185248,0.0038313873,0.98823386
9585611,114,3,0.0025630796,0.30351284,0.0025562672,0.6913678
9869603,114,3,0.0022919711,0.104479335,0.002209022,0.8910197
10213492,114,3,0.0026403752,0.0028007869,0.119364284,0.8751946
10502323,114,3,0.002216331,0.002237629,0.0021837016,0.9933623
10717531,114,3,0.0036543247,0.15646482,0.403689,0.43619186
10920985,114,3,0.004070841,0.0042837225,0.004010233,0.98763525
10921028,114,3,0.0024219633,0.0025925369,0.002392566,0.99259293
10936679,114,3,0.004100193,0.004269976,0.0040741786,0.9875556
11040191,114,3,0.002972754,0.0029950698,0.05903495,0.9349972
12059991,114,3,0.9841983,0.0050216233,0.0052135754,0.0055665285
8286193,116,4,0.9870652,0.004282033,0.004334104,0.0043186466
8607861,116,4,0.8494766,0.0041891923,0.14200577,0.0043285037
8692980,116,4,0.379003,0.0030140767,0.515379,0.10260399
8710868,116,4,0.39405683,0.00378644,0.59830445,0.0038522596
9056422,116,4,0.33276582,0.013574304,0.6509503,0.0027095373
9205064,116,4,0.002532697,0.0024071112,0.9926084,0.002451783
9342439,116,4,0.99066645,0.00308648,0.003128994,0.0031180715
9394418,116,4,0.9926507,0.0024743904,0.0024210273,0.0024538757
9413807,116,4,0.9929409,0.0023114325,0.0023574764,0.002390105
9516080,116,4,0.5093493,0.0024242192,0.48568073,0.0025458278
9545345,116,4,0.060471404,0.0026890736,0.9341091,0.0027305011
9699666,116,4,0.30554664,0.0028520674,0.43519682,0.2564045
9766646,116,4,0.56710017,0.0032670798,0.42633116,0.0033016372
9815544,116,4,0.78569293,0.0021397767,0.210024,0.0021432964
