DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
8132718,108,0,0.0020962567,0.0020874746,0.9916358,0.0020897165,0.0020908252
8673465,108,0,0.0022187687,0.002226159,0.99109966,0.002233623,0.0022217338
8707050,108,0,0.0035552294,0.0034859448,0.7638419,0.0035194359,0.22559746
9175625,108,0,0.0023831157,0.0023743247,0.9904737,0.0023907828,0.0023780742
9245791,108,0,0.0038124244,0.0039143125,0.9846541,0.003809648,0.0038094774
9591694,108,0,0.0021425402,0.0021472517,0.99134827,0.0021843293,0.0021775626
10051610,108,0,0.005075204,0.0050888793,0.7435382,0.005114808,0.24118294
10087618,108,0,0.0063281953,0.006313492,0.9746943,0.006329302,0.0063346834
10100328,108,0,0.13130577,0.0029755945,0.8596676,0.0029973013,0.003053789
10320929,108,0,0.0042997184,0.004290705,0.9827316,0.004337619,0.004340288
10531012,108,0,0.0023285826,0.0023101224,0.99073166,0.002318275,0.0023114448
10700148,108,0,0.005602448,0.0057006613,0.9773624,0.005667485,0.0056670425
10725388,108,0,0.0023405375,0.002343836,0.99058247,0.0023677605,0.0023653687
10806067,108,0,0.0024747006,0.002468871,0.9901143,0.0024739227,0.0024682665
10946305,108,0,0.0033599888,0.0033552432,0.9864711,0.0034186395,0.0033950335
11950889,108,0,0.002118512,0.002104138,0.84829247,0.0021014342,0.14538352
12217649,108,0,0.003094375,0.0030505457,0.98773766,0.0030609714,0.0030565416
12415118,108,0,0.002617654,0.0026230493,0.9894294,0.002666612,0.0026632666
12461557,108,0,0.0058048363,0.005772167,0.9765129,0.006141785,0.005768335
12496124,108,0,0.0042320387,0.13238396,0.85487664,0.0042816275,0.0042257016
12496132,108,0,0.0021080398,0.0020938204,0.991566,0.0021239105,0.0021082207
12511612,108,0,0.0017747357,0.0017885147,0.9928667,0.0017857397,0.0017843407
12516859,108,0,0.004137874,0.004142907,0.9833954,0.00420638,0.004117377
12516860,108,0,0.0040489035,0.00405211,0.98371035,0.0041486197,0.004040115
