DocumentID,Label,LabelID,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6
8132718,108,0,0.0017300115,0.001732999,0.81032294,0.18275465,0.0017292767,0.0017300849
8673465,108,0,0.0018382998,0.0018392673,0.9907984,0.001841948,0.0018381968,0.001843787
8707050,108,0,0.0029031353,0.0028966644,0.7024296,0.0029085088,0.28595906,0.0029030296
9175625,108,0,0.0019712236,0.0019667025,0.99015236,0.0019683875,0.0019673437,0.0019740127
9245791,108,0,0.0031685112,0.0031879123,0.9841547,0.003173615,0.0031590825,0.0031561896
9591694,108,0,0.0017780996,0.0017813044,0.81905115,0.0017857336,0.0017907502,0.173813
10051610,108,0,0.4838581,0.0041991933,0.49929392,0.004228516,0.0042213644,0.004199029
10087618,108,0,0.005231348,0.0052341404,0.9738575,0.0052214335,0.0052271117,0.0052284775
10100328,108,0,0.30213362,0.0024676735,0.6879874,0.0024707268,0.0024743367,0.0024662013
10320929,108,0,0.029921036,0.003570227,0.95579237,0.003564447,0.003579021,0.0035728982
10531012,108,0,0.1280253,0.0019268407,0.86427903,0.001924878,0.0019203379,0.0019236514
10700148,108,0,0.0046514543,0.0046624094,0.976708,0.004650046,0.0046605784,0.0046674213
10725388,108,0,0.0019305409,0.0019338785,0.9903395,0.0019275494,0.0019345904,0.0019338859
10806067,108,0,0.0020438633,0.0020484831,0.98977995,0.0020456316,0.0020397878,0.0020422563
10946305,108,0,0.15976122,0.0027475741,0.47442478,0.35753363,0.002768218,0.0027645873
11950889,108,0,0.15050453,0.0017312309,0.7030361,0.0017422668,0.14125252,0.0017333649
12217649,108,0,0.0025423747,0.0025322135,0.9873259,0.0025320086,0.0025321832,0.0025353117
12415118,108,0,0.0021705714,0.0021724,0.98911715,0.002181145,0.0021802492,0.0021785407
12461557,108,0,0.0047929515,0.0047883363,0.9759608,0.004805134,0.004783947,0.0048688855
12496124,108,0,0.0035031398,0.003530785,0.752176,0.003489231,0.003490698,0.23381016
12496132,108,0,0.0017823521,0.0017595708,0.9290684,0.001746693,0.001763363,0.063879564
12511612,108,0,0.0014697829,0.001472463,0.99264115,0.0014746287,0.0014707055,0.0014712821
12516859,108,0,0.0034176551,0.0034098118,0.9828911,0.003425832,0.0034116718,0.0034439687
12516860,108,0,0.0033531187,0.0033644682,0.9831928,0.003362352,0.0033459603,0.0033813962
8908519,109,1,0.047000013,0.0024979918,0.0025068237,0.002498434,0.0025049886,0.94299173
8940425,109,1,0.001946685,0.0019441707,0.001953033,0.0019472033,0.0019477458,0.99026114
9149812,109,1,0.0020923135,0.0020937817,0.0021092987,0.0020961114,0.0021080738,0.98950046
9666006,109,1,0.004279023,0.0042983214,0.0042931773,0.0042859213,0.004287517,0.978556
9676381,109,1,0.0025349923,0.1386825,0.0025532506,0.00254089,0.002542507,0.8511458
9836710,109,1,0.21438141,0.004933493,0.0049217753,0.0049255043,0.0049315467,0.7659063
9889212,109,1,0.0016753932,0.0016776278,0.0016828026,0.0016743069,0.0016713388,0.9916186
10029323,109,1,0.0015930005,0.001596779,0.0016091038,0.0015923253,0.0015928064,0.99201596
10419204,109,1,0.0021483765,0.0021404775,0.0021449653,0.0021487756,0.0021444713,0.98927295
10440566,109,1,0.0029862148,0.0029920796,0.0029928794,0.002992473,0.003020596,0.98501575
10457842,109,1,0.0026113782,0.0026126758,0.0026188772,0.002621757,0.0026253453,0.98691
