ExperimentID,Fold,Topics,UMass,CV,UCI,NPMI,AbsUMass,AbsCV,AbsUCI,AbsNPMI,NAC_UMass,NAC_CV,NAC_UCI,NAC_NPMI
F1_K002,1,2,-4.680315772626732,0.3083018538502158,-4.338848768250638,-0.1289711383737779,4.680315772626732,0.3083018538502158,4.338848768250638,0.1289711383737779,0.9114041519948788,0.5741892171148815,0.7203326440145261,0.8013660876866201
F1_K003,1,3,-3.103218891863288,0.3829568767235731,-2.588815640859085,-0.0454077392341275,3.103218891863288,0.3829568767235731,2.588815640859085,0.0454077392341275,0.6042939664743666,0.7132286312540274,0.4297933657176185,0.28214236766127015
F1_K004,1,4,-2.8272980582438105,0.4426286959871166,-2.9793627174445505,-0.0558130666610086,2.8272980582438105,0.4426286959871166,2.9793627174445505,0.0558130666610086,0.5505635334011416,0.8243629457541307,0.49463171877281786,0.3467961858435353
F1_K005,1,5,-2.914309458022738,0.4303529417091683,-2.6375283682916004,-0.0266955869107621,2.914309458022738,0.4303529417091683,2.6375283682916004,0.0266955869107621,0.5675073796888663,0.8015002686397262,0.43788061872477274,0.16587384054233587
F1_K006,1,6,-2.8401084670980783,0.4627510865913113,-2.580815545946647,-0.0211403705765204,2.8401084670980783,0.4627510865913113,2.580815545946647,0.0211403705765204,0.553058121455823,0.8618393980141803,0.42846519554427376,0.13135633502786798
F1_K007,1,7,-3.069259806949768,0.4657617695980989,-2.811871732032672,-0.0364240317815841,3.069259806949768,0.4657617695980989,2.811871732032672,0.0364240317815841,0.5976810684367715,0.8674465706505418,0.46682498228244207,0.22632182839223347
F1_K008,1,8,-2.600787027784471,0.4853441971621937,-2.5579561479883384,-0.0225181160163804,2.600787027784471,0.4853441971621937,2.5579561479883384,0.0225181160163804,0.5064547374005208,0.9039173820057638,0.4246700942509582,0.1399169981877829
F1_K009,1,9,-2.822919414887969,0.4951841634005485,-2.4427451547061376,-0.016086830146983,2.822919414887969,0.4951841634005485,2.4427451547061376,0.016086830146983,0.5497108743224618,0.9222435854984706,0.40554284556283027,0.09995600799308751
F1_K010,1,10,-3.4017629317154885,0.472126121194908,-3.2649923551826854,-0.0472963668596145,3.4017629317154885,0.472126121194908,3.2649923551826854,0.0472963668596145,0.6624298467638952,0.8792997010004846,0.5420517518623271,0.2938774128071623
F1_K011,1,11,-3.067127793884908,0.5369342451245162,-2.83864465998999,-0.0275076239167405,3.067127793884908,0.5369342451245162,2.83864465998999,0.0275076239167405,0.5972658986803236,1.0,0.4712698050945728,0.17091945715658738
F1_K012,1,12,-3.49846453349603,0.452875958163483,-3.389500822054915,-0.0598995393703159,3.49846453349603,0.452875958163483,3.389500822054915,0.0598995393703159,0.6812606790514947,0.843447707565123,0.5627225606262909,0.372187608209716
F1_K013,1,13,-2.4326403472674825,0.5366615615998456,-2.553194248237124,-0.024897706667011,2.4326403472674825,0.5366615615998456,2.553194248237124,0.024897706667011,0.4737113093473039,0.9994921472654303,0.42387952697803916,0.1547026570106503
F1_K014,1,14,-3.494605965494749,0.4747688465874529,-3.4125296895737827,-0.0591131137781226,3.494605965494749,0.4747688465874529,3.4125296895737827,0.0591131137781226,0.6805092949423946,0.8842215800136812,0.5665457971377617,0.36730112889334277
F1_K015,1,15,-3.631495340310819,0.4604240194910696,-3.825624160135648,-0.0735012468237107,3.631495340310819,0.4604240194910696,3.825624160135648,0.0735012468237107,0.7071659460386795,0.8575054090362523,0.6351274528029771,0.4567022308239263
F1_K016,1,16,-3.906400357850541,0.4683017966392334,-3.742606000461252,-0.0691129125497894,3.906400357850541,0.4683017966392334,3.742606000461252,0.0691129125497894,0.7606985678876774,0.8721771816409908,0.6213448358800119,0.42943518245251777
F1_K017,1,17,-3.2033320414351856,0.4912362923906537,-3.646378803703217,-0.0671167073018187,3.2033320414351856,0.4912362923906537,3.646378803703217,0.0671167073018187,0.6237891340275387,0.9148909700790923,0.6053692638402498,0.41703170048006577
F1_K018,1,18,-3.142094023922999,0.481752462972252,-3.696151564678348,-0.0723975488686862,3.142094023922999,0.481752462972252,3.696151564678348,0.0723975488686862,0.6118641729497055,0.8972280448614943,0.613632502876252,0.44984437003927236
F1_K019,1,19,-4.061964293044593,0.4368912857065775,-4.284360938751319,-0.0943411583482792,4.061964293044593,0.4368912857065775,4.284360938751319,0.0943411583482792,0.7909917411102502,0.81367744686365,0.7112866125932278,0.5861916544016145
F1_K020,1,20,-3.340843540779902,0.4502267191650604,-3.6402391613723473,-0.0718058157202192,3.340843540779902,0.4502267191650604,3.6402391613723473,0.0718058157202192,0.6505669322656001,0.8385136974466062,0.6043499647059124,0.4461676181386479
F1_K021,1,21,-3.629139200502113,0.4860366625857561,-3.8279107741160976,-0.0749816412864134,3.629139200502113,0.4860366625857561,3.8279107741160976,0.0749816412864134,0.706707131781553,0.9052070472298581,0.6355070748599685,0.46590070680675283
F1_K022,1,22,-3.343595005674304,0.5075460150358313,-3.595592433187494,-0.0614972260265507,3.343595005674304,0.5075460150358313,3.595592433187494,0.0614972260265507,0.6511027287055524,0.9452666125218561,0.5969377460558118,0.38211488280153516
F1_K023,1,23,-2.7746663778323724,0.5057696093807122,-3.233686968362006,-0.0509508065148056,2.7746663778323724,0.5057696093807122,3.233686968362006,0.0509508065148056,0.5403144958609821,0.9419581894304827,0.5368544533933305,0.3165843846622139
F1_K024,1,24,-3.182122570934714,0.5266046951801452,-3.392976912095149,-0.0507790256595493,3.182122570934714,0.5266046951801452,3.392976912095149,0.0507790256595493,0.619658985461752,0.9807619833561267,0.5632996586684805,0.31551701909770097
F1_K025,1,25,-3.2672773105622923,0.4801458950957495,-3.8136281444812936,-0.0720182893114978,3.2672773105622923,0.4801458950957495,3.8136281444812936,0.0720182893114978,0.6362412818342595,0.8942359319704086,0.6331358826571882,0.44748782925507763
F1_K026,1,26,-3.499488292302881,0.4862732588740994,-4.119446203649592,-0.0848363233761178,3.499488292302881,0.4862732588740994,4.119446203649592,0.0848363233761178,0.6814600369735953,0.9056476901772798,0.6839075833811361,0.5271330734524943
F1_K027,1,27,-3.247589874157163,0.4744334513788179,-3.716488674306811,-0.0740081477718059,3.247589874157163,0.4744334513788179,3.716488674306811,0.0740081477718059,0.6324075210041222,0.8835969314432456,0.6170088556215888,0.4598518752695108
F1_K028,1,28,-3.4436598967840037,0.4781507475325991,-3.979368511876192,-0.0785785963399636,3.4436598967840037,0.4781507475325991,3.979368511876192,0.0785785963399636,0.6705884988238178,0.8905201183837976,0.6606519827663059,0.48825049634256573
F1_K029,1,29,-3.658163079731951,0.4433913198499767,-4.3589605460541465,-0.0993283609514337,3.658163079731951,0.4433913198499767,4.3589605460541465,0.0993283609514337,0.7123589906137673,0.8257832758407007,0.7236715873275643,0.6171797893361746
F1_K030,1,30,-3.259820226634539,0.458793745155608,-3.8899759251061576,-0.0810157246456272,3.259820226634539,0.458793745155608,3.8899759251061576,0.0810157246456272,0.6347891539044993,0.8544691446328084,0.6458110879062348,0.503393667133536
F1_K031,1,31,-3.6774814469334514,0.4884892116702484,-4.320239260342508,-0.0909455600981539,3.6774814469334514,0.4884892116702484,4.320239260342508,0.0909455600981539,0.7161208821041203,0.9097747370480472,0.7172431065009436,0.5650930014830658
F1_K032,1,32,-3.6414389719872,0.4319932992739906,-4.530820418695672,-0.1054123465639396,3.6414389719872,0.4319932992739906,4.530820418695672,0.1054123465639396,0.7091022827381743,0.8045553123060916,0.7522036434263489,0.6549828188303052
F1_K033,1,33,-3.5403413907834493,0.484458364257217,-4.0845917979046105,-0.0823225013155801,3.5403413907834493,0.484458364257217,4.0845917979046105,0.0823225013155801,0.6894154154963031,0.9022675842641963,0.6781210792675206,0.5115133636849095
F1_K034,1,34,-4.777918970815903,0.4227787278103032,-5.340203659954267,-0.1348310278496378,4.777918970815903,0.4227787278103032,5.340203659954267,0.1348310278496378,0.9304105533573376,0.7873938599544157,0.8865768841954478,0.8377766890254743
F1_K035,1,35,-4.064017634035077,0.4526110901528871,-4.792626852837765,-0.1119411705584417,4.064017634035077,0.4526110901528871,4.792626852837765,0.1119411705584417,0.791391590948403,0.8429544106428258,0.7956685648832967,0.6955498651294983
F1_K036,1,36,-4.080209860092122,0.4505813054383474,-4.510899408849256,-0.0989910870888741,4.080209860092122,0.4505813054383474,4.510899408849256,0.0989910870888741,0.7945447247913676,0.8391740879441517,0.7488963712763924,0.6150841279414908
F1_K037,1,37,-3.3098894287080323,0.4496047112667481,-4.1634699640887565,-0.0891735395509819,3.3098894287080323,0.4496047112667481,4.1634699640887565,0.0891735395509819,0.6445391966096823,0.8373552541102753,0.6912163773609251,0.5540824979619443
F1_K038,1,38,-4.0912640031053895,0.4223823075780066,-4.995636854942387,-0.1217700427286816,4.0912640031053895,0.4223823075780066,4.995636854942387,0.1217700427286816,0.7966973128491992,0.7866555568271777,0.8293721437329409,0.7566218610562899
F1_K039,1,39,-3.7852479864299537,0.4086083535594275,-4.704479162961292,-0.1099033553230109,3.7852479864299537,0.4086083535594275,4.704479162961292,0.1099033553230109,0.7371064045164486,0.7610025943952791,0.781034346936564,0.6828878382354456
F1_K040,1,40,-3.647439607553412,0.4622018543895674,-4.470644930649521,-0.0998088525724238,3.647439607553412,0.4622018543895674,4.470644930649521,0.0998088525724238,0.7102707945299725,0.8608164939868602,0.7422133509030571,0.6201653386252187
F1_K041,1,41,-3.6034372080000585,0.4639234856726772,-4.563636318357781,-0.1002175380590535,3.6034372080000585,0.4639234856726772,4.563636318357781,0.1002175380590535,0.701702148396048,0.8640229038941116,0.7576517161829508,0.6227047183162436
F1_K042,1,42,-4.107083312668409,0.4747167436582887,-4.658077771326721,-0.1046843639028201,4.107083312668409,0.4747167436582887,4.658077771326721,0.1046843639028201,0.7997778281643734,0.8841245421926868,0.773330820285286,0.6504594764422253
F1_K043,1,43,-4.412895816852329,0.4425841109654564,-4.811752236823027,-0.1151487217685165,4.412895816852329,0.4425841109654564,4.811752236823027,0.1151487217685165,0.8593291062373806,0.824279909475359,0.7988437477831265,0.7154800820499898
F1_K044,1,44,-4.220487941963019,0.4344537751425246,-4.886573777975723,-0.1179228664771788,4.220487941963019,0.4344537751425246,4.886573777975723,0.1179228664771788,0.8218612633460429,0.8091377651685708,0.8112655678203097,0.732717314502838
F1_K045,1,45,-4.007838804868173,0.4469433893674925,-4.61478446309653,-0.1028092015547475,4.007838804868173,0.4469433893674925,4.61478446309653,0.1028092015547475,0.7804518123855152,0.8323987404898069,0.7661432954713794,0.638808098206754
F1_K046,1,46,-4.2618532171116446,0.4522623780147011,-5.039122576891422,-0.1242555310684488,4.2618532171116446,0.4522623780147011,5.039122576891422,0.1242555310684488,0.8299163787165406,0.8423049602839553,0.8365916129381462,0.7720655183888123
F1_K047,1,47,-3.97806113830337,0.4175303558292187,-4.939813965531377,-0.121707125550393,3.97806113830337,0.4175303558292187,4.939813965531377,0.121707125550393,0.7746531675371039,0.7776191584360438,0.8201044665969673,0.7562309232569561
F1_K048,1,48,-4.241231933566736,0.4496550336330336,-4.929725905407044,-0.1177810156335627,4.241231933566736,0.4496550336330336,4.929725905407044,0.1177810156335627,0.8259007685835205,0.8374489757656595,0.8184296538965311,0.7318359199752171
F1_K049,1,49,-3.712074627730056,0.4747143396301328,-4.822582651210764,-0.1146618871950709,3.712074627730056,0.4747143396301328,4.822582651210764,0.1146618871950709,0.7228572584813577,0.8841200648694806,0.8006418056202143,0.7124551206331027
F1_K050,1,50,-4.1362707211996295,0.4208098842456012,-4.964635791406912,-0.1199133869596259,4.1362707211996295,0.4208098842456012,4.964635791406912,0.1199133869596259,0.8054615312762248,0.7837270356038001,0.824225368803338,0.7450854740119506
F1_K051,1,51,-4.277673118057495,0.4460191907123733,-4.940665846351267,-0.1213791851394054,4.277673118057495,0.4460191907123733,4.940665846351267,0.1213791851394054,0.8329970091924846,0.8306774893989869,0.8202458952560778,0.7541932555472564
F1_K052,1,52,-3.3696894518632377,0.4312466703256812,-4.575518846984964,-0.1043870667848715,3.3696894518632377,0.4312466703256812,4.575518846984964,0.1043870667848715,0.6561841351225501,0.8031647715553591,0.7596244452917019,0.6486122117650654
F1_K053,1,53,-3.942864311404024,0.4379969369393593,-5.021552606733287,-0.1204784909746074,3.942864311404024,0.4379969369393593,5.021552606733287,0.1204784909746074,0.7677992423466876,0.8157366398520305,0.8336746587562267,0.74859676498241
F1_K054,1,54,-4.169051105076053,0.4212975600337657,-5.20728748104385,-0.1330984943060474,4.169051105076053,0.4212975600337657,5.20728748104385,0.1330984943060474,0.8118448992839331,0.784635295400214,0.8645102329474368,0.8270115392011074
F1_K055,1,55,-4.291984739555607,0.4209786724553476,-5.33331036387202,-0.1380909570942853,4.291984739555607,0.4209786724553476,5.33331036387202,0.1380909570942853,0.8357839303937091,0.7840413910603183,0.8854324639913523,0.8580323584555389
F1_K056,1,56,-4.534794235699754,0.4204131503091777,-5.113570327909323,-0.1270344157458081,4.534794235699754,0.4204131503091777,5.113570327909323,0.1270344157458081,0.8830665484221419,0.7829881482260143,0.8489513765980541,0.7893322027812056
F1_K057,1,57,-4.172975652593868,0.4162545797442397,-5.171390828225633,-0.1304990557620526,4.172975652593868,0.4162545797442397,5.171390828225633,0.1304990557620526,0.812609131672559,0.7752431205942347,0.858550695702205,0.8108598488116981
F1_K058,1,58,-4.661109609082217,0.4167150076553615,-5.551639279543793,-0.1448440952161285,4.661109609082217,0.4167150076553615,5.551639279543793,0.1448440952161285,0.9076641100727632,0.7761006332511432,0.9216792781789052,0.8999931874018171
F1_K059,1,59,-4.052882060461485,0.4604381569154737,-5.027843192336714,-0.1203281292397263,4.052882060461485,0.4604381569154737,5.027843192336714,0.1203281292397263,0.789223145808617,0.8575317389351784,0.8347190173873166,0.7476624877732702
F1_K060,1,60,-4.120228758712732,0.435484320567865,-4.964028825162093,-0.121513640293384,4.120228758712732,0.435484320567865,4.964028825162093,0.121513640293384,0.8023376584593059,0.8110570791901629,0.8241246006910319,0.7550286967325615
F1_K061,1,61,-3.953089383267504,0.4332223642069218,-5.087588669476241,-0.1246743466860236,3.953089383267504,0.4332223642069218,5.087588669476241,0.1246743466860236,0.7697903842703427,0.8068443541097973,0.8446379198000357,0.7746678419563169
F1_K062,1,62,-3.823084954729169,0.4583094005857169,-4.713473144505569,-0.110460867742024,3.823084954729169,0.4583094005857169,4.713473144505569,0.110460867742024,0.744474447973792,0.8535670889820671,0.7825275214747996,0.6863519585936487
F1_K063,1,63,-4.5271204741944215,0.4278867696711854,-5.296609373984892,-0.1335633234036644,4.5271204741944215,0.4278867696711854,5.296609373984892,0.1335633234036644,0.8815722265778163,0.7969072070863306,0.8793393912673625,0.8298997689251925
F1_K064,1,64,-3.8561779897853374,0.4447762004877218,-4.739136452894941,-0.1101287630456172,3.8561779897853374,0.4447762004877218,4.739136452894941,0.1101287630456172,0.7509186989640145,0.8283625127776629,0.7867881260207678,0.684288415969945
F1_K065,1,65,-3.982826518939103,0.4419083968781661,-4.924550112040171,-0.1197704523299362,3.982826518939103,0.4419083968781661,4.924550112040171,0.1197704523299362,0.775581136483696,0.8230214423661627,0.8175703722944356,0.7441973453466254
