ExperimentID,Fold,Topics,MeanLogPerplexity,PerplexityTest,AbsLogPerplexity,NAP
F1_K002,1,2,-6.6037391042066025,97.25760123409532,6.6037391042066025,0.48060809908466817
F1_K003,1,3,-6.728117760016936,106.01449773355534,6.728117760016936,0.4896601510195534
F1_K004,1,4,-6.848726703680291,115.25828944745649,6.848726703680291,0.49843785017331477
F1_K005,1,5,-6.998321462478935,127.8511619869112,6.998321462478935,0.5093250841364868
F1_K006,1,6,-7.142264607923756,141.26542615715223,7.142264607923756,0.5198010039777833
F1_K007,1,7,-7.320976506390941,159.89450025582394,7.320976506390941,0.5328073303106049
F1_K008,1,8,-7.426440501884128,172.0209540864326,7.426440501884128,0.5404828077327167
F1_K009,1,9,-7.542228026011845,186.39612089211226,7.542228026011845,0.5489096127579628
F1_K010,1,10,-7.654327372890152,201.4568949384936,7.654327372890152,0.5570679989633622
F1_K011,1,11,-7.767099100147521,217.83607761512187,7.767099100147521,0.5652753197875804
F1_K012,1,12,-7.91914042164265,242.0464998211497,7.91914042164265,0.5763406101258295
F1_K013,1,13,-8.041964978721426,263.5558634890865,8.041964978721426,0.5852795575868133
F1_K014,1,14,-8.173471487630492,288.70884312304673,8.173471487630492,0.594850361682297
F1_K015,1,15,-8.291676711304072,313.35988881907747,8.291676711304072,0.6034531224751105
F1_K016,1,16,-8.434641938232826,346.0032882131415,8.434641938232826,0.6138578711887094
F1_K017,1,17,-8.556627537655702,376.53170473860416,8.556627537655702,0.6227357608401929
F1_K018,1,18,-8.631812370330906,396.6746437848883,8.631812370330906,0.6282075759652045
F1_K019,1,19,-8.779479855463986,439.42704530786705,8.779479855463986,0.6389545464627541
F1_K020,1,20,-8.928744390527157,487.3263394643678,8.928744390527157,0.6498177473441715
F1_K021,1,21,-8.979449601346987,504.75853890821105,8.979449601346987,0.6535079801957816
F1_K022,1,22,-9.03988666999171,526.3529302980091,9.03988666999171,0.657906479927106
F1_K023,1,23,-9.130057591065386,560.3007412917674,9.130057591065386,0.6644689552590476
F1_K024,1,24,-9.142628528318118,565.2042596459946,9.142628528318118,0.6653838451663275
F1_K025,1,25,-9.383951089359433,668.1142822402587,9.383951089359433,0.6829468614360692
F1_K026,1,26,-9.373748041302916,663.4059040179089,9.373748041302916,0.6822043021898706
F1_K027,1,27,-9.499525235014811,723.8391023092934,9.499525235014811,0.6913581371649034
F1_K028,1,28,-9.568761793617094,759.4240056951413,9.568761793617094,0.69639704774146
F1_K029,1,29,-9.793896705667816,887.680506459374,9.793896705667816,0.7127819564137857
F1_K030,1,30,-9.822963943590144,905.7467687121365,9.822963943590144,0.7148974170252738
F1_K031,1,31,-9.882534103411302,943.9287159855044,9.882534103411302,0.7192328247120461
F1_K032,1,32,-9.992326264437978,1018.5677750409477,9.992326264437978,0.7272232981351733
F1_K033,1,33,-9.970159599519825,1003.0373405574943,9.970159599519825,0.7256100486531375
F1_K034,1,34,-10.167102349860969,1149.748300498859,10.167102349860969,0.7399431831662302
F1_K035,1,35,-10.153435149173953,1138.9077256038677,10.153435149173953,0.7389485092037458
F1_K036,1,36,-10.231205634722517,1201.987047728611,10.231205634722517,0.744608503433466
F1_K037,1,37,-10.245937081818582,1214.3234877002803,10.245937081818582,0.745680631310398
F1_K038,1,38,-10.455927565364567,1404.584364566578,10.455927565364567,0.7609633560713773
F1_K039,1,39,-10.537671908691168,1486.4671944023537,10.537671908691168,0.7669125604292685
F1_K040,1,40,-10.551555975117386,1500.8415673644188,10.551555975117386,0.7679230174850931
F1_K041,1,41,-10.669076148951767,1628.2157328603773,10.669076148951767,0.7764759215988645
F1_K042,1,42,-10.597145169800063,1549.025490576178,10.597145169800063,0.7712409160043252
F1_K043,1,43,-10.789711778012506,1770.218559668961,10.789711778012506,0.785255562867223
F1_K044,1,44,-10.75198791176254,1724.5304792132754,10.75198791176254,0.782510088619615
F1_K045,1,45,-10.869894524401468,1871.389987533477,10.869894524401468,0.7910911170454368
F1_K046,1,46,-10.995524048999343,2041.655940999397,10.995524048999343,0.8002342049314245
F1_K047,1,47,-11.239537412717082,2417.8975690356224,11.239537412717082,0.8179930529169445
F1_K048,1,48,-11.146678761178102,2267.1729909655837,11.146678761178102,0.8112349694591521
F1_K049,1,49,-11.254636377033785,2443.3356954410933,11.254636377033785,0.8190919280275277
F1_K050,1,50,-11.337762216602156,2588.2517176943343,11.337762216602156,0.825141675164619
F1_K051,1,51,-11.490546902214879,2877.3936719112626,11.490546902214879,0.836261066188835
F1_K052,1,52,-11.40414917566078,2710.135324303293,11.40414917566078,0.8299731970787498
F1_K053,1,53,-11.403657967557905,2709.2127358219186,11.403657967557905,0.8299374478480712
F1_K054,1,54,-11.58341017954015,3068.696345446084,11.58341017954015,0.8430194863029248
F1_K055,1,55,-11.60159889341205,3107.629708424091,11.60159889341205,0.8443432277561872
F1_K056,1,56,-11.749297014306551,3442.633807154031,11.749297014306551,0.8550924278686305
F1_K057,1,57,-11.882879130866367,3776.6179522888674,11.882879130866367,0.8648142909068938
F1_K058,1,58,-11.762693906556898,3474.7510568616867,11.762693906556898,0.8560674292756334
F1_K059,1,59,-11.726754685617319,3389.260203333076,11.726754685617319,0.8534518382618467
F1_K060,1,60,-11.971911784243268,4017.0251657857452,11.971911784243268,0.871293925189944
F1_K061,1,61,-11.903226839217732,3830.260605874962,11.903226839217732,0.8662951600443873
