ExperimentID,Fold,Topics,LogPerplexityTrain,Perplexity
F1_K002,1,2,-6.29853540842212,78.71329391322747
F1_K003,1,3,-6.21430604539776,74.24932706202891
F1_K004,1,4,-6.193754257690412,73.1991128090789
F1_K005,1,5,-6.191917452868002,73.1059767511699
F1_K006,1,6,-6.2246925656892005,74.78580556208152
F1_K007,1,7,-6.24550634154976,75.8725616014237
F1_K008,1,8,-6.238521667730685,75.50611941687957
F1_K009,1,9,-6.241092541114939,75.64079079743509
F1_K010,1,10,-6.238659594572122,75.5133384188892
F1_K011,1,11,-6.237395907418025,75.44722364568608
F1_K012,1,12,-6.279896291519423,77.70288670978312
F1_K013,1,13,-6.281959196904948,77.8140733121541
F1_K014,1,14,-6.308875803616452,79.27949148051485
F1_K015,1,15,-6.335854214465646,80.77596716405293
F1_K016,1,16,-6.343291326195754,81.19344345041203
F1_K017,1,17,-6.341420338033344,81.08821434462384
F1_K018,1,18,-6.341718732306574,81.10498764774304
F1_K019,1,19,-6.3851130855112626,83.58157765080807
F1_K020,1,20,-6.404489859555861,84.71173069655401
F1_K021,1,21,-6.403808829686433,84.67175162771444
F1_K022,1,22,-6.384863518540512,83.56712040483704
F1_K023,1,23,-6.364133929995532,82.37495860324627
F1_K024,1,24,-6.367838901913657,82.58677684763984
F1_K025,1,25,-6.43124691758089,86.29750340444
F1_K026,1,26,-6.412141358038481,85.16220257699497
F1_K027,1,27,-6.414645003573881,85.31012093550524
F1_K028,1,28,-6.426826492202146,86.03349206166078
F1_K029,1,29,-6.488333006085695,89.78067302469526
F1_K030,1,30,-6.476226380503537,89.03041530173687
F1_K031,1,31,-6.480087484253483,89.26900770704921
F1_K032,1,32,-6.490681516995595,89.9269427459698
F1_K033,1,33,-6.453806917539868,87.65757831903815
F1_K034,1,34,-6.542349159939595,93.20588602302514
F1_K035,1,35,-6.534153579847043,92.67790838915366
F1_K036,1,36,-6.50055254024008,90.54433908330026
F1_K037,1,37,-6.521047422117855,91.83978898566758
F1_K038,1,38,-6.5308384546598095,92.46519112563706
F1_K039,1,39,-6.5500134489241475,93.7023580376876
F1_K040,1,40,-6.5463296387824705,93.46340152605582
