ExperimentID,Fold,Topics,LogPerplexityTest,PerplexityTest,DeltaLogPerplexity,RPC
F1_K002,1,2,-6.6037391042066025,97.25760123409532,,
F1_K003,1,3,-6.728117760016936,106.01449773355534,-0.12437865581033325,0.12437865581033325
F1_K004,1,4,-6.848726703680291,115.25828944745649,-0.12060894366335528,0.12060894366335528
F1_K005,1,5,-6.998321462478935,127.8511619869112,-0.14959475879864392,0.14959475879864392
F1_K006,1,6,-7.142264607923756,141.26542615715223,-0.14394314544482079,0.14394314544482079
F1_K007,1,7,-7.320976506390941,159.89450025582394,-0.17871189846718494,0.17871189846718494
F1_K008,1,8,-7.426440501884128,172.0209540864326,-0.10546399549318775,0.10546399549318775
F1_K009,1,9,-7.542228026011845,186.39612089211226,-0.11578752412771642,0.11578752412771642
F1_K010,1,10,-7.654327372890152,201.4568949384936,-0.11209934687830714,0.11209934687830714
F1_K011,1,11,-7.767099100147521,217.83607761512187,-0.11277172725736939,0.11277172725736939
F1_K012,1,12,-7.91914042164265,242.0464998211497,-0.15204132149512883,0.15204132149512883
F1_K013,1,13,-8.041964978721426,263.5558634890865,-0.1228245570787756,0.1228245570787756
F1_K014,1,14,-8.173471487630492,288.70884312304673,-0.1315065089090659,0.1315065089090659
F1_K015,1,15,-8.291676711304072,313.35988881907747,-0.11820522367358066,0.11820522367358066
F1_K016,1,16,-8.434641938232826,346.0032882131415,-0.14296522692875335,0.14296522692875335
F1_K017,1,17,-8.556627537655702,376.53170473860416,-0.12198559942287623,0.12198559942287623
F1_K018,1,18,-8.631812370330906,396.6746437848883,-0.0751848326752036,0.0751848326752036
F1_K019,1,19,-8.779479855463986,439.42704530786705,-0.1476674851330806,0.1476674851330806
F1_K020,1,20,-8.928744390527157,487.3263394643678,-0.14926453506317117,0.14926453506317117
F1_K021,1,21,-8.979449601346987,504.75853890821105,-0.050705210819829816,0.050705210819829816
F1_K022,1,22,-9.03988666999171,526.3529302980091,-0.0604370686447222,0.0604370686447222
F1_K023,1,23,-9.130057591065386,560.3007412917674,-0.09017092107367652,0.09017092107367652
F1_K024,1,24,-9.142628528318118,565.2042596459946,-0.012570937252732506,0.012570937252732506
F1_K025,1,25,-9.383951089359433,668.1142822402587,-0.241322561041315,0.241322561041315
F1_K026,1,26,-9.373748041302916,663.4059040179089,0.010203048056517616,0.010203048056517616
F1_K027,1,27,-9.499525235014811,723.8391023092934,-0.12577719371189566,0.12577719371189566
F1_K028,1,28,-9.568761793617094,759.4240056951413,-0.06923655860228273,0.06923655860228273
F1_K029,1,29,-9.793896705667816,887.680506459374,-0.22513491205072178,0.22513491205072178
F1_K030,1,30,-9.822963943590144,905.7467687121365,-0.02906723792232846,0.02906723792232846
F1_K031,1,31,-9.882534103411302,943.9287159855044,-0.059570159821157986,0.059570159821157986
F1_K032,1,32,-9.992326264437978,1018.5677750409477,-0.10979216102667522,0.10979216102667522
F1_K033,1,33,-9.970159599519825,1003.0373405574943,0.02216666491815289,0.02216666491815289
F1_K034,1,34,-10.167102349860969,1149.748300498859,-0.19694275034114384,0.19694275034114384
F1_K035,1,35,-10.153435149173953,1138.9077256038677,0.013667200687015324,0.013667200687015324
F1_K036,1,36,-10.231205634722517,1201.987047728611,-0.07777048554856414,0.07777048554856414
F1_K037,1,37,-10.245937081818582,1214.3234877002803,-0.014731447096064443,0.014731447096064443
F1_K038,1,38,-10.455927565364567,1404.584364566578,-0.20999048354598493,0.20999048354598493
F1_K039,1,39,-10.537671908691168,1486.4671944023537,-0.08174434332660141,0.08174434332660141
F1_K040,1,40,-10.551555975117386,1500.8415673644188,-0.013884066426218311,0.013884066426218311
F1_K041,1,41,-10.669076148951767,1628.2157328603773,-0.11752017383438051,0.11752017383438051
F1_K042,1,42,-10.597145169800063,1549.025490576178,0.07193097915170377,0.07193097915170377
F1_K043,1,43,-10.789711778012506,1770.218559668961,-0.1925666082124433,0.1925666082124433
F1_K044,1,44,-10.75198791176254,1724.5304792132754,0.03772386624996571,0.03772386624996571
F1_K045,1,45,-10.869894524401468,1871.389987533477,-0.11790661263892765,0.11790661263892765
F1_K046,1,46,-10.995524048999343,2041.655940999397,-0.12562952459787446,0.12562952459787446
F1_K047,1,47,-11.239537412717082,2417.8975690356224,-0.2440133637177393,0.2440133637177393
F1_K048,1,48,-11.146678761178102,2267.1729909655837,0.09285865153898065,0.09285865153898065
F1_K049,1,49,-11.254636377033785,2443.3356954410933,-0.10795761585568364,0.10795761585568364
F1_K050,1,50,-11.337762216602156,2588.2517176943343,-0.08312583956837116,0.08312583956837116
F1_K051,1,51,-11.490546902214879,2877.3936719112626,-0.15278468561272263,0.15278468561272263
F1_K052,1,52,-11.40414917566078,2710.135324303293,0.0863977265540985,0.0863977265540985
F1_K053,1,53,-11.403657967557905,2709.2127358219186,0.0004912081028756177,0.0004912081028756177
F1_K054,1,54,-11.58341017954015,3068.696345446084,-0.17975221198224567,0.17975221198224567
F1_K055,1,55,-11.60159889341205,3107.629708424091,-0.0181887138718988,0.0181887138718988
F1_K056,1,56,-11.749297014306551,3442.633807154031,-0.14769812089450163,0.14769812089450163
F1_K057,1,57,-11.882879130866367,3776.6179522888674,-0.13358211655981655,0.13358211655981655
F1_K058,1,58,-11.762693906556898,3474.7510568616867,0.12018522430946987,0.12018522430946987
F1_K059,1,59,-11.726754685617319,3389.260203333076,0.035939220939578576,0.035939220939578576
F1_K060,1,60,-11.971911784243268,4017.0251657857452,-0.24515709862594903,0.24515709862594903
F1_K061,1,61,-11.903226839217732,3830.260605874962,0.06868494502553624,0.06868494502553624
F1_K062,1,62,-11.989801766124263,4067.147975421327,-0.08657492690653079,0.08657492690653079
F1_K063,1,63,-12.007966025925482,4118.679145255016,-0.018164259801219274,0.018164259801219274
F1_K064,1,64,-12.234167998267983,4817.830752998973,-0.22620197234250128,0.22620197234250128
F1_K065,1,65,-12.369204086102727,5290.557665221787,-0.1350360878347434,0.1350360878347434
F1_K066,1,66,-12.149177841875103,4542.2073222848285,0.22002624422762374,0.22002624422762374
F1_K067,1,67,-12.284069109085022,4987.389316471996,-0.13489126720991962,0.13489126720991962
F1_K068,1,68,-12.453416743426025,5608.567980807671,-0.16934763434100297,0.16934763434100297
F1_K069,1,69,-12.278792298153462,4969.180728519331,0.17462444527256338,0.17462444527256338
F1_K070,1,70,-12.69249967853256,6619.468551195234,-0.4137073803790976,0.4137073803790976
F1_K071,1,71,-12.425696784824957,5501.833574773118,0.26680289370760235,0.26680289370760235
F1_K072,1,72,-12.579951930805871,6122.698516656683,-0.1542551459809136,0.1542551459809136
F1_K073,1,73,-12.731915034147494,6802.809781956266,-0.15196310334162355,0.15196310334162355
F1_K074,1,74,-12.777946869310432,7023.3658351279355,-0.046031835162937185,0.046031835162937185
F1_K075,1,75,-12.63481528915952,6360.018687249391,0.14313158015091254,0.14313158015091254
F1_K076,1,76,-12.860526934810283,7437.112780548191,-0.22571164565076351,0.22571164565076351
F1_K077,1,77,-12.752398310109164,6900.084480282335,0.10812862470111817,0.10812862470111817
F1_K078,1,78,-12.705152804420615,6677.7797930002125,0.04724550568854902,0.04724550568854902
F1_K079,1,79,-12.739587040384528,6839.082324564455,-0.034434235963912485,0.034434235963912485
F1_K080,1,80,-13.059115152299112,8534.64335707299,-0.3195281119145843,0.3195281119145843
F1_K081,1,81,-12.88871906213523,7583.872855407415,0.1703960901638819,0.1703960901638819
F1_K082,1,82,-13.096053606689074,8755.984022903558,-0.20733454455384326,0.20733454455384326
F1_K083,1,83,-13.057779858405715,8526.747728039556,0.038273748283359055,0.038273748283359055
F1_K084,1,84,-13.285360035160913,9983.708076963621,-0.2275801767551986,0.2275801767551986
F1_K085,1,85,-13.17189738101032,9228.608265012455,0.11346265415059342,0.11346265415059342
F1_K086,1,86,-13.178280852234177,9269.532421806896,-0.00638347122385774,0.00638347122385774
F1_K087,1,87,-13.272461102657136,9894.8430107541,-0.09418025042295852,0.09418025042295852
F1_K088,1,88,-13.3393467057719,10364.38366098347,-0.06688560311476444,0.06688560311476444
F1_K089,1,89,-13.37468073905471,10621.358919856712,-0.03533403328281004,0.03533403328281004
F1_K090,1,90,-13.413003426481053,10907.277520993028,-0.03832268742634248,0.03832268742634248
F1_K091,1,91,-13.401431782574509,10820.141777092907,0.011571643906544082,0.011571643906544082
F1_K092,1,92,-13.379424380047096,10656.33986537394,0.022007402527412623,0.022007402527412623
F1_K093,1,93,-13.659252904464712,12937.335556069316,-0.2798285244176153,0.2798285244176153
F1_K094,1,94,-13.450540097598893,11194.791961064566,0.20871280686581883,0.20871280686581883
F1_K095,1,95,-13.740382479578708,13685.708272645395,-0.28984238197981504,0.28984238197981504
F1_K096,1,96,-13.620116122796608,12591.094903935098,0.12026635678209985,0.12026635678209985
F1_K097,1,97,-13.677216850843338,13099.433946555255,-0.05710072804673061,0.05710072804673061
F1_K098,1,98,-13.649007068619836,12845.781738536687,0.028209782223502344,0.028209782223502344
F1_K099,1,99,-13.483010666790218,11449.608647553678,0.16599640182961828,0.16599640182961828
F1_K100,1,100,-13.717721651476133,13472.422353075204,-0.23471098468591478,0.23471098468591478
F2_K002,2,2,-6.615859152569155,98.07810181699769,,
F2_K003,2,3,-6.7099759929630745,104.68972140101889,-0.09411684039391943,0.09411684039391943
F2_K004,2,4,-6.871386695849268,117.0829098185323,-0.16141070288619375,0.16141070288619375
F2_K005,2,5,-7.02709505831796,130.42666661929917,-0.15570836246869213,0.15570836246869213
F2_K006,2,6,-7.139254213320582,140.9709624732875,-0.11215915500262152,0.11215915500262152
F2_K007,2,7,-7.247900016727059,151.99710301833397,-0.10864580340647745,0.10864580340647745
F2_K008,2,8,-7.380841902882288,166.66899091411918,-0.13294188615522895,0.13294188615522895
F2_K009,2,9,-7.4902682968446515,179.80237869024378,-0.1094263939623632,0.1094263939623632
F2_K010,2,10,-7.6060579797867955,194.82810244431607,-0.11578968294214409,0.11578968294214409
F2_K011,2,11,-7.772156427294443,218.60103588392758,-0.16609844750764768,0.16609844750764768
F2_K012,2,12,-7.850361650868466,230.77796196978883,-0.07820522357402293,0.07820522357402293
F2_K013,2,13,-7.995268313964588,255.16175812762248,-0.14490666309612177,0.14490666309612177
F2_K014,2,14,-8.06995547000301,268.7191766358875,-0.07468715603842124,0.07468715603842124
F2_K015,2,15,-8.145071930748424,283.08116092722844,-0.07511646074541467,0.07511646074541467
F2_K016,2,16,-8.297094479759345,314.5388649599542,-0.15202254901092083,0.15202254901092083
F2_K017,2,17,-8.404697259590387,338.8956384975702,-0.10760277983104238,0.10760277983104238
F2_K018,2,18,-8.517939916638095,366.5687310835468,-0.1132426570477083,0.1132426570477083
F2_K019,2,19,-8.710345196324672,418.86606485437267,-0.19240527968657695,0.19240527968657695
F2_K020,2,20,-8.70828011207033,418.2669258077838,0.0020650842543421533,0.0020650842543421533
F2_K021,2,21,-8.827759705776232,454.381316961316,-0.11947959370590233,0.11947959370590233
F2_K022,2,22,-8.99599476322603,510.5805473554856,-0.16823505744979705,0.16823505744979705
F2_K023,2,23,-8.977767468468425,504.17035075442175,0.01822729475760454,0.01822729475760454
F2_K024,2,24,-9.124053369925923,557.9737223125732,-0.14628590145749776,0.14628590145749776
F2_K025,2,25,-9.149716366421092,567.9878924063573,-0.025662996495169565,0.025662996495169565
F2_K026,2,26,-9.248916387843174,608.4168876436913,-0.09920002142208162,0.09920002142208162
F2_K027,2,27,-9.389577755004025,670.7250876161861,-0.14066136716085076,0.14066136716085076
F2_K028,2,28,-9.545862669522682,747.4652346785825,-0.15628491451865756,0.15628491451865756
F2_K029,2,29,-9.65422978623632,805.7730738776164,-0.1083671167136373,0.1083671167136373
F2_K030,2,30,-9.687213017780815,824.407041842235,-0.03298323154449534,0.03298323154449534
F2_K031,2,31,-9.818396902825844,902.884041833893,-0.1311838850450293,0.1311838850450293
F2_K032,2,32,-9.850744754332675,923.3570100900996,-0.03234785150683095,0.03234785150683095
F2_K033,2,33,-9.891538811813701,949.8387551883852,-0.04079405748102616,0.04079405748102616
F2_K034,2,34,-9.970987312132092,1003.6129749368713,-0.07944850031839046,0.07944850031839046
F2_K035,2,35,-10.042517696927039,1054.6274202221848,-0.07153038479494711,0.07153038479494711
F2_K036,2,36,-10.106637290961434,1102.556819739754,-0.06411959403439482,0.06411959403439482
F2_K037,2,37,-10.31614682007064,1274.8809524100232,-0.20950952910920684,0.20950952910920684
F2_K038,2,38,-10.23802191327063,1207.6794939270478,0.07812490680001005,0.07812490680001005
F2_K039,2,39,-10.270232842926774,1234.946512946136,-0.03221092965614325,0.03221092965614325
F2_K040,2,40,-10.52656262525531,1475.064806890169,-0.2563297823285371,0.2563297823285371
F2_K041,2,41,-10.50306494275919,1451.2344997160817,0.02349768249612083,0.02349768249612083
F2_K042,2,42,-10.762650613864643,1737.3233936875897,-0.2595856711054534,0.2595856711054534
F2_K043,2,43,-10.80101602636456,1784.1436047873756,-0.03836541249991576,0.03836541249991576
F2_K044,2,44,-10.849287108941512,1844.8491113205464,-0.048271082576953006,0.048271082576953006
F2_K045,2,45,-10.866374810916955,1866.8299605491543,-0.01708770197544318,0.01708770197544318
F2_K046,2,46,-10.785191625214079,1764.6809123433607,0.08118318570287641,0.08118318570287641
F2_K047,2,47,-10.92676074430703,1946.6269850796514,-0.1415691190929511,0.1415691190929511
F2_K048,2,48,-10.993446187824723,2038.717534781394,-0.06668544351769334,0.06668544351769334
F2_K049,2,49,-11.307329900070812,2534.2267499664295,-0.31388371224608846,0.31388371224608846
F2_K050,2,50,-11.183297553301998,2325.455396803032,0.12403234676881425,0.12403234676881425
F2_K051,2,51,-11.289370667078849,2502.8752454545593,-0.10607311377685136,0.10607311377685136
F2_K052,2,52,-11.393975512376812,2691.091094706979,-0.10460484529796332,0.10460484529796332
F2_K053,2,53,-11.378811343491932,2662.9531716926153,0.015164168884879814,0.015164168884879814
F2_K054,2,54,-11.485366171284726,2867.0794555369425,-0.10655482779279346,0.10655482779279346
F2_K055,2,55,-11.522113151242289,2941.045016238295,-0.03674697995756304,0.03674697995756304
F2_K056,2,56,-11.71074329899829,3351.8533141922276,-0.18863014775600107,0.18863014775600107
F2_K057,2,57,-11.794104176217859,3551.2326834628493,-0.08336087721956886,0.08336087721956886
F2_K058,2,58,-11.853111826175708,3699.492929558725,-0.059007649957848685,0.059007649957848685
F2_K059,2,59,-11.698571445382953,3323.693069266924,0.15454038079275456,0.15454038079275456
F2_K060,2,60,-11.840329435852727,3666.8599133416637,-0.1417579904697739,0.1417579904697739
F2_K061,2,61,-12.158652895945682,4572.1369303280835,-0.3183234600929552,0.3183234600929552
F2_K062,2,62,-12.127752060011813,4475.2484419731145,0.03090083593386872,0.03090083593386872
F2_K063,2,63,-11.966994049332358,4003.3555865898616,0.16075801067945505,0.16075801067945505
F2_K064,2,64,-12.141693096697045,4518.703237020556,-0.17469904736468678,0.17469904736468678
F2_K065,2,65,-12.073548928402257,4310.229366962861,0.06814416829478809,0.06814416829478809
F2_K066,2,66,-12.18804635448319,4666.24503938295,-0.11449742608093239,0.11449742608093239
F2_K067,2,67,-12.274562411102952,4954.632754455667,-0.0865160566197627,0.0865160566197627
F2_K068,2,68,-12.24241624043889,4845.454365910771,0.03214617066406156,0.03214617066406156
F2_K069,2,69,-12.338181816790092,5178.009212874355,-0.09576557635120153,0.09576557635120153
F2_K070,2,70,-12.3355650520781,5168.625836175144,0.0026167647119912374,0.0026167647119912374
F2_K071,2,71,-12.500874630515085,5796.131577847524,-0.16530957843698424,0.16530957843698424
F2_K072,2,72,-12.427133004060773,5507.313439525507,0.07374162645431248,0.07374162645431248
F2_K073,2,73,-12.47635625925931,5698.459560574276,-0.04922325519853743,0.04922325519853743
F2_K074,2,74,-12.367217859640077,5283.278916034725,0.10913839961923344,0.10913839961923344
