Metric,SelectedK,MetricValue,MeanMCC,MeanF1,MeanAccuracy
RPC,21,0.043226840797335644,0.8266683051585544,0.835822510822511,0.8411111111111111
NAP,2,0.4794425946767012,0.2258313732513034,0.22949708064014782,0.28888888888888886
UMass,7,-2.846511744246528,0.6580991478973532,0.6742552245369583,0.6866666666666668
CV,7,0.5153277589245404,0.6580991478973532,0.6742552245369583,0.6866666666666668
UCI,7,-2.6651659784775257,0.6580991478973532,0.6742552245369583,0.6866666666666668
NPMI,7,-0.02358141817895282,0.6580991478973532,0.6742552245369583,0.6866666666666668
NAC_UMass,94,0.9292665952610577,0.7907642666672619,0.7917479703532335,0.8077777777777777
NAC_CV,7,0.9425439594331033,0.6580991478973532,0.6742552245369583,0.6866666666666668
NAC_UCI,94,0.9782595533010735,0.7907642666672619,0.7917479703532335,0.8077777777777777
NAC_NPMI,94,0.9528604315856299,0.7907642666672619,0.7917479703532335,0.8077777777777777
