Fold,Metric,SelectedK,MetricValue
1,RPC,53,0.0004912081028756
1,NAP,2,0.4806080990846681
1,UMass,13,-2.4326403472674825
1,CV,11,0.5369342451245162
1,UCI,9,-2.4427451547061376
1,NPMI,9,-0.016086830146983
1,NAC_UMass,97,1.0
1,NAC_CV,11,1.0
1,NAC_UCI,97,1.0
1,NAC_NPMI,97,1.0
2,RPC,20,0.0020650842543421
2,NAP,2,0.4841704152408433
2,UMass,7,-2.447235811550168
2,CV,7,0.5480666335063782
2,UCI,5,-2.261027418729748
2,NPMI,7,-0.0074746211346091
2,NAC_UMass,98,1.0
2,NAC_CV,7,1.0
2,NAC_UCI,98,1.0
2,NAC_NPMI,98,1.0
3,RPC,60,6.171097957263783e-05
3,NAP,2,0.4915561567011351
3,UMass,6,-2.523765301025278
3,CV,7,0.5482875008769668
3,UCI,6,-2.1600664579570754
3,NPMI,6,-0.0057722048034234
3,NAC_UMass,92,1.0
3,NAC_CV,7,1.0
3,NAC_UCI,92,1.0
3,NAC_NPMI,92,1.0
4,RPC,26,0.0001218255708987
4,NAP,2,0.4717919522098561
4,UMass,14,-2.555683984416467
4,CV,6,0.5420059157740279
4,UCI,14,-2.578204327028702
4,NPMI,14,-0.0175939861541246
4,NAC_UMass,2,1.0
4,NAC_CV,6,1.0
4,NAC_UCI,71,1.0
4,NAC_NPMI,2,1.0
5,RPC,68,0.0001102533912611
5,NAP,2,0.4690863501470035
5,UMass,11,-2.511328381951342
5,CV,8,0.5573585657976553
5,UCI,8,-1.9273342850450843
5,NPMI,8,0.010770479859611
5,NAC_UMass,96,1.0
5,NAC_CV,8,1.0
5,NAC_UCI,96,1.0
5,NAC_NPMI,92,1.0
