Metric,SpearmanRho,PValue,N,AbsSpearmanRho,Rank
NAC_CV,0.20421796861359737,4.640095266263151e-06,495,0.20421796861359737,1
CV,0.17959541872954438,5.860408467191661e-05,495,0.17959541872954438,2
RPC,-0.1645868528211705,0.0002532384270775603,490,0.1645868528211705,3
UCI,-0.10831493068335174,0.01591499226797154,495,0.10831493068335174,4
NPMI,-0.09491156834110995,0.034765603867614424,495,0.09491156834110995,5
NAP,0.05453212476014138,0.2258581806176315,495,0.05453212476014138,6
NAC_UCI,-0.05282038064812635,0.24078490150713824,495,0.05282038064812635,7
NAC_UMass,0.043934765541718816,0.32931892933375106,495,0.043934765541718816,8
NAC_NPMI,-0.026183125256317122,0.5611294990851587,495,0.026183125256317122,9
UMass,-0.009216660532450006,0.8379286687711194,495,0.009216660532450006,10
