Fold,Metric,MeanRankDifference,MaximumRankDifference,DifferentRanks,TotalTopics
1,UMass,49.494949494949495,98.0,98,99
1,CV,0.0,0.0,0,99
1,UCI,49.494949494949495,98.0,98,99
1,NPMI,49.494949494949495,98.0,98,99
2,UMass,49.494949494949495,98.0,98,99
2,CV,0.0,0.0,0,99
2,UCI,49.494949494949495,98.0,98,99
2,NPMI,49.494949494949495,98.0,98,99
3,UMass,49.494949494949495,98.0,98,99
3,CV,0.0,0.0,0,99
3,UCI,49.494949494949495,98.0,98,99
3,NPMI,49.494949494949495,98.0,98,99
4,UMass,49.494949494949495,98.0,98,99
4,CV,0.0,0.0,0,99
4,UCI,49.494949494949495,98.0,98,99
4,NPMI,49.494949494949495,98.0,98,99
5,UMass,49.494949494949495,98.0,98,99
5,CV,0.0,0.0,0,99
5,UCI,49.494949494949495,98.0,98,99
5,NPMI,49.494949494949495,98.0,98,99
