ProposedMetric,BaselineMetric,N,MeanProposedError,MeanBaselineError,MedianDifference,WilcoxonStatistic,PValue,RejectNull,PValue_Holm,ErrorDifference,BetterMetric
NAP,RPC,5,22.2,25.2,-4.0,7.0,1.0,False,1.0,-3.0,NAP
NAP,UMass,5,22.2,14.0,9.0,0.0,0.0625,False,1.0,8.2,UMass
NAP,CV,5,22.2,16.4,5.0,0.0,0.0625,False,1.0,5.800000000000001,CV
NAP,UCI,5,22.2,15.8,6.0,0.0,0.0625,False,1.0,6.399999999999999,UCI
NAP,NPMI,5,22.2,15.4,6.0,0.0,0.0625,False,1.0,6.799999999999999,NPMI
NAC_UMass,RPC,5,61.6,25.2,32.0,0.0,0.0625,False,1.0,36.400000000000006,RPC
NAC_UMass,UMass,5,61.6,14.0,45.0,0.0,0.0625,False,1.0,47.6,UMass
NAC_UMass,CV,5,61.6,16.4,45.0,0.0,0.0625,False,1.0,45.2,CV
NAC_UMass,UCI,5,61.6,15.8,43.0,0.0,0.0625,False,1.0,45.8,UCI
NAC_UMass,NPMI,5,61.6,15.4,45.0,0.0,0.0625,False,1.0,46.2,NPMI
NAC_CV,RPC,5,16.4,25.2,-9.0,5.0,0.625,False,1.0,-8.8,NAC_CV
NAC_CV,UMass,5,16.4,14.0,2.0,1.0,0.25,False,1.0,2.3999999999999986,UMass
NAC_CV,CV,5,16.4,16.4,0.0,0.0,1.0,False,1.0,0.0,Tie
NAC_CV,UCI,5,16.4,15.8,-1.0,4.0,0.875,False,1.0,0.5999999999999979,UCI
NAC_CV,NPMI,5,16.4,15.4,0.0,3.0,1.0,False,1.0,0.9999999999999982,NPMI
NAC_UCI,RPC,5,66.6,25.2,44.0,0.0,0.0625,False,1.0,41.39999999999999,RPC
NAC_UCI,UMass,5,66.6,14.0,45.0,0.0,0.0625,False,1.0,52.599999999999994,UMass
NAC_UCI,CV,5,66.6,16.4,45.0,0.0,0.0625,False,1.0,50.199999999999996,CV
NAC_UCI,UCI,5,66.6,15.8,43.0,0.0,0.0625,False,1.0,50.8,UCI
NAC_UCI,NPMI,5,66.6,15.4,45.0,0.0,0.0625,False,1.0,51.199999999999996,NPMI
NAC_NPMI,RPC,5,60.8,25.2,32.0,0.0,0.0625,False,1.0,35.599999999999994,RPC
NAC_NPMI,UMass,5,60.8,14.0,45.0,0.0,0.0625,False,1.0,46.8,UMass
NAC_NPMI,CV,5,60.8,16.4,45.0,0.0,0.0625,False,1.0,44.4,CV
NAC_NPMI,UCI,5,60.8,15.8,43.0,0.0,0.0625,False,1.0,45.0,UCI
NAC_NPMI,NPMI,5,60.8,15.4,45.0,0.0,0.0625,False,1.0,45.4,NPMI
